,completeness,homogeneity,mutual_info,rand,v_measure
mean
3:7-0.45,0.73,0.13,0.12,0.05,0.21
3:7-0.5,0.9,0.66,0.65,0.49,0.76
3:7-0.55,0.9,0.91,0.89,0.85,0.9
3:7-0.6,0.81,0.97,0.78,0.79,0.88
3:7-0.65,0.7,0.99,0.63,0.6,0.82
4:6-0.45,0.88,0.29,0.28,0.13,0.43
4:6-0.5,0.91,0.75,0.74,0.63,0.82
4:6-0.55,0.9,0.93,0.89,0.87,0.91
4:6-0.6,0.8,0.98,0.77,0.78,0.88
4:6-0.65,0.69,0.99,0.62,0.58,0.81
5:5-0.45,0.9,0.44,0.43,0.24,0.59
5:5-0.5,0.92,0.81,0.8,0.71,0.86
5:5-0.55,0.9,0.95,0.89,0.88,0.92
5:5-0.6,0.8,0.98,0.77,0.78,0.88
5:5-0.65,0.69,0.99,0.61,0.58,0.81
6:4-0.45,0.91,0.55,0.53,0.34,0.68
6:4-0.5,0.92,0.84,0.83,0.76,0.88
6:4-0.55,0.89,0.95,0.88,0.88,0.92
6:4-0.6,0.8,0.98,0.76,0.78,0.88
6:4-0.65,0.69,0.99,0.62,0.59,0.81
7:3-0.45,0.91,0.6,0.59,0.4,0.73
7:3-0.5,0.92,0.87,0.86,0.79,0.89
7:3-0.55,0.89,0.95,0.88,0.88,0.92
7:3-0.6,0.8,0.98,0.77,0.79,0.88
7:3-0.65,0.7,0.99,0.62,0.6,0.82
8:2-0.45,0.91,0.67,0.65,0.48,0.77
8:2-0.5,0.91,0.87,0.86,0.8,0.89
8:2-0.55,0.89,0.95,0.87,0.88,0.92
8:2-0.6,0.81,0.98,0.77,0.8,0.88
8:2-0.65,0.71,0.99,0.63,0.62,0.82
9:1-0.45,0.91,0.71,0.7,0.53,0.8
9:1-0.5,0.91,0.88,0.87,0.81,0.89
9:1-0.55,0.88,0.95,0.87,0.88,0.92
9:1-0.6,0.82,0.98,0.79,0.81,0.89
9:1-0.65,0.72,0.99,0.65,0.65,0.83
max
3:7-0.45,0.9,0.24,0.24,0.1,0.38
3:7-0.5,0.93,0.76,0.75,0.68,0.83
3:7-0.55,0.92,0.94,0.91,0.92,0.93
3:7-0.6,0.85,0.98,0.82,0.86,0.91
3:7-0.65,0.73,0.99,0.67,0.71,0.84
4:6-0.45,0.95,0.41,0.41,0.27,0.57
4:6-0.5,0.94,0.8,0.79,0.73,0.86
4:6-0.55,0.93,0.96,0.93,0.95,0.94
4:6-0.6,0.84,0.98,0.81,0.86,0.9
4:6-0.65,0.73,0.99,0.67,0.72,0.84
5:5-0.45,0.94,0.56,0.55,0.4,0.7
5:5-0.5,0.94,0.86,0.85,0.8,0.9
5:5-0.55,0.93,0.96,0.92,0.94,0.94
5:5-0.6,0.84,0.98,0.81,0.87,0.91
5:5-0.65,0.73,0.99,0.66,0.71,0.84
6:4-0.45,0.94,0.65,0.64,0.49,0.77
6:4-0.5,0.94,0.91,0.91,0.91,0.93
6:4-0.55,0.92,0.96,0.92,0.93,0.94
6:4-0.6,0.84,0.99,0.82,0.87,0.91
6:4-0.65,0.73,0.99,0.67,0.71,0.84
7:3-0.45,0.95,0.7,0.68,0.57,0.8
7:3-0.5,0.94,0.92,0.91,0.92,0.93
7:3-0.55,0.92,0.96,0.92,0.93,0.94
7:3-0.6,0.84,0.98,0.82,0.87,0.91
7:3-0.65,0.74,0.99,0.67,0.72,0.84
8:2-0.45,0.94,0.76,0.75,0.67,0.83
8:2-0.5,0.94,0.92,0.92,0.93,0.93
8:2-0.55,0.93,0.97,0.92,0.95,0.95
8:2-0.6,0.85,0.98,0.83,0.88,0.91
8:2-0.65,0.74,0.99,0.69,0.74,0.85
9:1-0.45,0.94,0.77,0.76,0.68,0.85
9:1-0.5,0.94,0.92,0.92,0.92,0.93
9:1-0.55,0.93,0.97,0.92,0.95,0.95
9:1-0.6,0.86,0.98,0.84,0.89,0.92
9:1-0.65,0.76,0.99,0.71,0.76,0.86
min
3:7-0.45,0.28,0.0,0.0,0.0,0.0
3:7-0.5,0.86,0.58,0.56,0.36,0.69
3:7-0.55,0.86,0.87,0.85,0.73,0.87
3:7-0.6,0.78,0.96,0.75,0.71,0.86
3:7-0.65,0.66,0.98,0.58,0.48,0.79
4:6-0.45,0.8,0.17,0.16,0.06,0.28
4:6-0.5,0.89,0.69,0.68,0.53,0.78
4:6-0.55,0.87,0.9,0.86,0.79,0.88
4:6-0.6,0.77,0.97,0.73,0.71,0.86
4:6-0.65,0.65,0.98,0.57,0.46,0.78
5:5-0.45,0.84,0.32,0.31,0.14,0.47
5:5-0.5,0.89,0.76,0.74,0.6,0.82
5:5-0.55,0.87,0.92,0.85,0.8,0.89
5:5-0.6,0.77,0.97,0.72,0.7,0.86
5:5-0.65,0.65,0.98,0.57,0.46,0.79
6:4-0.45,0.86,0.44,0.43,0.2,0.59
6:4-0.5,0.88,0.79,0.78,0.65,0.83
6:4-0.55,0.87,0.92,0.86,0.82,0.9
6:4-0.6,0.76,0.97,0.71,0.7,0.86
6:4-0.65,0.66,0.98,0.57,0.47,0.79
7:3-0.45,0.88,0.51,0.5,0.26,0.66
7:3-0.5,0.9,0.82,0.81,0.69,0.86
7:3-0.55,0.87,0.94,0.85,0.81,0.9
7:3-0.6,0.77,0.97,0.72,0.71,0.86
7:3-0.65,0.66,0.98,0.58,0.49,0.79
8:2-0.45,0.89,0.56,0.54,0.29,0.69
8:2-0.5,0.89,0.83,0.82,0.7,0.86
8:2-0.55,0.86,0.94,0.84,0.81,0.9
8:2-0.6,0.77,0.97,0.73,0.72,0.86
8:2-0.65,0.67,0.98,0.59,0.5,0.8
9:1-0.45,0.89,0.6,0.59,0.36,0.72
9:1-0.5,0.89,0.84,0.83,0.73,0.87
9:1-0.55,0.85,0.94,0.83,0.8,0.9
9:1-0.6,0.78,0.97,0.73,0.72,0.87
9:1-0.65,0.68,0.98,0.61,0.54,0.8
std
3:7-0.45,0.21,0.08,0.08,0.04,0.13
3:7-0.5,0.02,0.05,0.05,0.09,0.04
3:7-0.55,0.02,0.02,0.02,0.04,0.01
3:7-0.6,0.02,0.01,0.02,0.04,0.01
3:7-0.65,0.02,0.0,0.02,0.06,0.01
4:6-0.45,0.03,0.07,0.06,0.05,0.08
4:6-0.5,0.01,0.03,0.03,0.06,0.02
4:6-0.55,0.02,0.01,0.02,0.03,0.01
4:6-0.6,0.02,0.0,0.02,0.04,0.01
4:6-0.65,0.02,0.0,0.03,0.07,0.02
5:5-0.45,0.02,0.06,0.06,0.07,0.06
5:5-0.5,0.01,0.02,0.03,0.05,0.02
5:5-0.55,0.02,0.01,0.02,0.03,0.01
5:5-0.6,0.02,0.0,0.03,0.04,0.01
5:5-0.65,0.02,0.0,0.03,0.07,0.01
6:4-0.45,0.02,0.05,0.05,0.07,0.04
6:4-0.5,0.01,0.03,0.03,0.06,0.02
6:4-0.55,0.02,0.01,0.02,0.03,0.01
6:4-0.6,0.02,0.0,0.03,0.04,0.01
6:4-0.65,0.02,0.0,0.03,0.06,0.01
7:3-0.45,0.02,0.05,0.05,0.08,0.04
7:3-0.5,0.01,0.02,0.02,0.05,0.02
7:3-0.55,0.02,0.01,0.02,0.03,0.01
7:3-0.6,0.02,0.0,0.03,0.04,0.01
7:3-0.65,0.02,0.0,0.03,0.06,0.01
8:2-0.45,0.01,0.05,0.05,0.09,0.03
8:2-0.5,0.01,0.02,0.03,0.05,0.02
8:2-0.55,0.02,0.01,0.02,0.03,0.01
8:2-0.6,0.02,0.0,0.03,0.04,0.01
8:2-0.65,0.02,0.0,0.03,0.06,0.01
9:1-0.45,0.01,0.04,0.04,0.08,0.03
9:1-0.5,0.01,0.02,0.02,0.05,0.01
9:1-0.55,0.02,0.01,0.02,0.03,0.01
9:1-0.6,0.02,0.0,0.02,0.04,0.01
9:1-0.65,0.02,0.0,0.03,0.06,0.01
test finished in 40355.57 seconds
