,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.0,0.0,0.78,0.0,0.01,152.28
0.65,0.01,0.01,0.81,0.03,0.07,153.64
0.70,0.03,0.03,0.72,0.11,0.19,147.52
0.75,0.12,0.11,0.78,0.3,0.44,139.29
0.80,0.35,0.29,0.75,0.66,0.7,97.15
0.85,0.2,0.19,0.65,0.92,0.76,52.26
0.90,0.02,0.0,0.58,0.98,0.73,24.06
max
0.60,0.0,0.0,0.78,0.0,0.01,152.28
0.65,0.01,0.01,0.81,0.03,0.07,153.64
0.70,0.03,0.03,0.72,0.11,0.19,147.52
0.75,0.12,0.11,0.78,0.3,0.44,139.29
0.80,0.35,0.29,0.75,0.66,0.7,97.15
0.85,0.2,0.19,0.65,0.92,0.76,52.26
0.90,0.02,0.0,0.58,0.98,0.73,24.06
min
0.60,0.0,0.0,0.78,0.0,0.01,152.28
0.65,0.01,0.01,0.81,0.03,0.07,153.64
0.70,0.03,0.03,0.72,0.11,0.19,147.52
0.75,0.12,0.11,0.78,0.3,0.44,139.29
0.80,0.35,0.29,0.75,0.66,0.7,97.15
0.85,0.2,0.19,0.65,0.92,0.76,52.26
0.90,0.02,0.0,0.58,0.98,0.73,24.06
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 939.89 seconds
