,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.22,0.05,0.63,0.86,0.73,30.64
0.65,0.19,0.04,0.62,0.89,0.73,27.79
0.70,0.16,0.03,0.62,0.92,0.74,24.33
0.75,0.12,0.02,0.61,0.95,0.74,22.67
0.80,0.09,0.01,0.6,0.97,0.74,19.08
0.85,0.05,0.0,0.59,0.98,0.74,16.45
0.90,0.02,0.0,0.58,0.99,0.73,13.83
max
0.60,0.22,0.05,0.63,0.86,0.73,30.64
0.65,0.19,0.04,0.62,0.89,0.73,27.79
0.70,0.16,0.03,0.62,0.92,0.74,24.33
0.75,0.12,0.02,0.61,0.95,0.74,22.67
0.80,0.09,0.01,0.6,0.97,0.74,19.08
0.85,0.05,0.0,0.59,0.98,0.74,16.45
0.90,0.02,0.0,0.58,0.99,0.73,13.83
min
0.60,0.22,0.05,0.63,0.86,0.73,30.64
0.65,0.19,0.04,0.62,0.89,0.73,27.79
0.70,0.16,0.03,0.62,0.92,0.74,24.33
0.75,0.12,0.02,0.61,0.95,0.74,22.67
0.80,0.09,0.01,0.6,0.97,0.74,19.08
0.85,0.05,0.0,0.59,0.98,0.74,16.45
0.90,0.02,0.0,0.58,0.99,0.73,13.83
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 6156.96 seconds
