,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.35,0.0,0.0,1.0,0.0,0.0,136.7
0.40,0.0,0.0,1.0,0.0,0.0,134.16
0.45,0.0,0.0,1.0,0.0,0.0,134.37
0.50,0.0,0.0,0.95,0.01,0.01,133.47
0.55,0.0,0.0,0.75,0.01,0.02,134.84
0.60,0.13,0.22,0.72,0.27,0.4,135.7
0.65,0.23,0.29,0.73,0.46,0.56,126.21
0.70,0.39,0.2,0.69,0.7,0.69,98.98
max
0.35,-0.0,0.0,1.0,-0.0,-0.0,136.7
0.40,-0.0,0.0,1.0,-0.0,-0.0,134.16
0.45,0.0,0.0,1.0,0.0,0.0,134.37
0.50,0.0,0.0,0.95,0.01,0.01,133.47
0.55,0.0,0.0,0.75,0.01,0.02,134.84
0.60,0.13,0.22,0.72,0.27,0.4,135.7
0.65,0.23,0.29,0.73,0.46,0.56,126.21
0.70,0.39,0.2,0.69,0.7,0.69,98.98
min
0.35,-0.0,0.0,1.0,-0.0,-0.0,136.7
0.40,-0.0,0.0,1.0,-0.0,-0.0,134.16
0.45,0.0,0.0,1.0,0.0,0.0,134.37
0.50,0.0,0.0,0.95,0.01,0.01,133.47
0.55,0.0,0.0,0.75,0.01,0.02,134.84
0.60,0.13,0.22,0.72,0.27,0.4,135.7
0.65,0.23,0.29,0.73,0.46,0.56,126.21
0.70,0.39,0.2,0.69,0.7,0.69,98.98
std
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 11475.26 seconds
