,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.24,0.06,0.61,0.69,0.65,50.25
0.65,0.22,0.04,0.61,0.76,0.68,45.97
0.70,0.21,0.03,0.62,0.82,0.71,39.81
0.75,0.18,0.02,0.62,0.9,0.73,35.09
0.80,0.13,0.01,0.61,0.95,0.74,27.66
0.85,0.06,0.01,0.59,0.98,0.74,20.41
0.90,0.01,0.0,0.58,0.99,0.73,17.24
max
0.60,0.24,0.06,0.61,0.69,0.65,50.25
0.65,0.22,0.04,0.61,0.76,0.68,45.97
0.70,0.21,0.03,0.62,0.82,0.71,39.81
0.75,0.18,0.02,0.62,0.9,0.73,35.09
0.80,0.13,0.01,0.61,0.95,0.74,27.66
0.85,0.06,0.01,0.59,0.98,0.74,20.41
0.90,0.01,0.0,0.58,0.99,0.73,17.24
min
0.60,0.24,0.06,0.61,0.69,0.65,50.25
0.65,0.22,0.04,0.61,0.76,0.68,45.97
0.70,0.21,0.03,0.62,0.82,0.71,39.81
0.75,0.18,0.02,0.62,0.9,0.73,35.09
0.80,0.13,0.01,0.61,0.95,0.74,27.66
0.85,0.06,0.01,0.59,0.98,0.74,20.41
0.90,0.01,0.0,0.58,0.99,0.73,17.24
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 8136.52 seconds
