,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.22,0.04,0.61,0.76,0.68,36.27
0.65,0.2,0.03,0.61,0.82,0.7,32.46
0.70,0.18,0.03,0.62,0.88,0.73,26.66
0.75,0.15,0.02,0.61,0.93,0.74,27.92
0.80,0.1,0.01,0.6,0.96,0.74,26.08
0.85,0.05,0.0,0.59,0.98,0.74,20.5
0.90,0.01,0.0,0.58,0.99,0.73,17.63
max
0.60,0.22,0.04,0.61,0.76,0.68,36.27
0.65,0.2,0.03,0.61,0.82,0.7,32.46
0.70,0.18,0.03,0.62,0.88,0.73,26.66
0.75,0.15,0.02,0.61,0.93,0.74,27.92
0.80,0.1,0.01,0.6,0.96,0.74,26.08
0.85,0.05,0.0,0.59,0.98,0.74,20.5
0.90,0.01,0.0,0.58,0.99,0.73,17.63
min
0.60,0.22,0.04,0.61,0.76,0.68,36.27
0.65,0.2,0.03,0.61,0.82,0.7,32.46
0.70,0.18,0.03,0.62,0.88,0.73,26.66
0.75,0.15,0.02,0.61,0.93,0.74,27.92
0.80,0.1,0.01,0.6,0.96,0.74,26.08
0.85,0.05,0.0,0.59,0.98,0.74,20.5
0.90,0.01,0.0,0.58,0.99,0.73,17.63
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 7081.75 seconds
