,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.35,0.03,0.02,0.47,0.17,0.25,287.06
0.40,0.07,0.07,0.53,0.27,0.36,263.32
0.45,0.1,0.1,0.55,0.36,0.44,241.4
0.50,0.15,0.06,0.57,0.48,0.52,206.91
0.55,0.18,0.06,0.58,0.53,0.55,182.28
0.60,0.21,0.05,0.58,0.6,0.59,161.67
0.65,0.19,0.03,0.59,0.68,0.63,136.71
0.70,0.18,0.02,0.6,0.77,0.67,106.86
max
0.35,0.03,0.02,0.47,0.17,0.25,287.06
0.40,0.07,0.07,0.53,0.27,0.36,263.32
0.45,0.1,0.1,0.55,0.36,0.44,241.4
0.50,0.15,0.06,0.57,0.48,0.52,206.91
0.55,0.18,0.06,0.58,0.53,0.55,182.28
0.60,0.21,0.05,0.58,0.6,0.59,161.67
0.65,0.19,0.03,0.59,0.68,0.63,136.71
0.70,0.18,0.02,0.6,0.77,0.67,106.86
min
0.35,0.03,0.02,0.47,0.17,0.25,287.06
0.40,0.07,0.07,0.53,0.27,0.36,263.32
0.45,0.1,0.1,0.55,0.36,0.44,241.4
0.50,0.15,0.06,0.57,0.48,0.52,206.91
0.55,0.18,0.06,0.58,0.53,0.55,182.28
0.60,0.21,0.05,0.58,0.6,0.59,161.67
0.65,0.19,0.03,0.59,0.68,0.63,136.71
0.70,0.18,0.02,0.6,0.77,0.67,106.86
std
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 30464.45 seconds
