,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.35,0.0,0.0,1.0,0.0,0.0,324.15
0.40,0.0,0.0,0.57,0.01,0.01,321.09
0.45,0.0,0.0,0.66,0.01,0.02,322.81
0.50,0.03,0.04,0.74,0.08,0.15,317.17
0.55,0.16,0.24,0.7,0.34,0.46,276.67
0.60,0.28,0.35,0.72,0.53,0.61,218.91
0.65,0.33,0.2,0.66,0.69,0.67,163.62
0.70,0.22,0.06,0.63,0.81,0.71,118.34
max
0.35,0.0,0.0,1.0,0.0,0.0,324.15
0.40,0.0,0.0,0.57,0.01,0.01,321.09
0.45,0.0,0.0,0.66,0.01,0.02,322.81
0.50,0.03,0.04,0.74,0.08,0.15,317.17
0.55,0.16,0.24,0.7,0.34,0.46,276.67
0.60,0.28,0.35,0.72,0.53,0.61,218.91
0.65,0.33,0.2,0.66,0.69,0.67,163.62
0.70,0.22,0.06,0.63,0.81,0.71,118.34
min
0.35,0.0,0.0,1.0,0.0,0.0,324.15
0.40,0.0,0.0,0.57,0.01,0.01,321.09
0.45,0.0,0.0,0.66,0.01,0.02,322.81
0.50,0.03,0.04,0.74,0.08,0.15,317.17
0.55,0.16,0.24,0.7,0.34,0.46,276.67
0.60,0.28,0.35,0.72,0.53,0.61,218.91
0.65,0.33,0.2,0.66,0.69,0.67,163.62
0.70,0.22,0.06,0.63,0.81,0.71,118.34
std
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 28258.93 seconds
