,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.35,0.01,0.0,0.59,0.04,0.07,88.89
0.40,0.13,0.19,0.78,0.25,0.38,83.44
0.45,0.22,0.37,0.71,0.45,0.55,75.75
0.50,0.32,0.3,0.68,0.61,0.64,71.0
0.55,0.36,0.28,0.68,0.71,0.69,62.23
0.60,0.25,0.09,0.64,0.81,0.72,54.27
0.65,0.19,0.04,0.62,0.88,0.73,47.41
0.70,0.15,0.03,0.61,0.93,0.74,41.04
max
0.35,0.01,0.0,0.59,0.04,0.07,88.89
0.40,0.13,0.19,0.78,0.25,0.38,83.44
0.45,0.22,0.37,0.71,0.45,0.55,75.75
0.50,0.32,0.3,0.68,0.61,0.64,71.0
0.55,0.36,0.28,0.68,0.71,0.69,62.23
0.60,0.25,0.09,0.64,0.81,0.72,54.27
0.65,0.19,0.04,0.62,0.88,0.73,47.41
0.70,0.15,0.03,0.61,0.93,0.74,41.04
min
0.35,0.01,0.0,0.59,0.04,0.07,88.89
0.40,0.13,0.19,0.78,0.25,0.38,83.44
0.45,0.22,0.37,0.71,0.45,0.55,75.75
0.50,0.32,0.3,0.68,0.61,0.64,71.0
0.55,0.36,0.28,0.68,0.71,0.69,62.23
0.60,0.25,0.09,0.64,0.81,0.72,54.27
0.65,0.19,0.04,0.62,0.88,0.73,47.41
0.70,0.15,0.03,0.61,0.93,0.74,41.04
std
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 23005.04 seconds
