,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.35,0.04,0.07,0.58,0.1,0.17,67.32
0.40,0.05,0.1,0.59,0.13,0.22,67.33
0.45,0.08,0.08,0.54,0.26,0.35,65.09
0.50,0.12,0.09,0.57,0.37,0.44,59.02
0.55,0.16,0.09,0.58,0.45,0.51,54.73
0.60,0.22,0.07,0.6,0.57,0.58,49.41
0.65,0.22,0.05,0.6,0.64,0.62,46.45
0.70,0.19,0.03,0.59,0.72,0.65,51.71
max
0.35,0.04,0.07,0.58,0.1,0.17,67.32
0.40,0.05,0.1,0.59,0.13,0.22,67.33
0.45,0.08,0.08,0.54,0.26,0.35,65.09
0.50,0.12,0.09,0.57,0.37,0.44,59.02
0.55,0.16,0.09,0.58,0.45,0.51,54.73
0.60,0.22,0.07,0.6,0.57,0.58,49.41
0.65,0.22,0.05,0.6,0.64,0.62,46.45
0.70,0.19,0.03,0.59,0.72,0.65,51.71
min
0.35,0.04,0.07,0.58,0.1,0.17,67.32
0.40,0.05,0.1,0.59,0.13,0.22,67.33
0.45,0.08,0.08,0.54,0.26,0.35,65.09
0.50,0.12,0.09,0.57,0.37,0.44,59.02
0.55,0.16,0.09,0.58,0.45,0.51,54.73
0.60,0.22,0.07,0.6,0.57,0.58,49.41
0.65,0.22,0.05,0.6,0.64,0.62,46.45
0.70,0.19,0.03,0.59,0.72,0.65,51.71
std
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 13589.31 seconds
