,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.35,0.01,0.0,0.58,0.04,0.08,12.71
0.40,0.15,0.28,0.7,0.33,0.45,13.16
0.45,0.23,0.32,0.68,0.48,0.56,12.76
0.50,0.33,0.32,0.68,0.63,0.66,12.28
0.55,0.33,0.22,0.67,0.72,0.69,12.1
0.60,0.29,0.17,0.66,0.82,0.73,11.78
0.65,0.24,0.12,0.65,0.87,0.74,11.46
0.70,0.18,0.05,0.63,0.92,0.74,10.51
max
0.35,0.01,0.0,0.58,0.04,0.08,12.71
0.40,0.15,0.28,0.7,0.33,0.45,13.16
0.45,0.23,0.32,0.68,0.48,0.56,12.76
0.50,0.33,0.32,0.68,0.63,0.66,12.28
0.55,0.33,0.22,0.67,0.72,0.69,12.1
0.60,0.29,0.17,0.66,0.82,0.73,11.78
0.65,0.24,0.12,0.65,0.87,0.74,11.46
0.70,0.18,0.05,0.63,0.92,0.74,10.51
min
0.35,0.01,0.0,0.58,0.04,0.08,12.71
0.40,0.15,0.28,0.7,0.33,0.45,13.16
0.45,0.23,0.32,0.68,0.48,0.56,12.76
0.50,0.33,0.32,0.68,0.63,0.66,12.28
0.55,0.33,0.22,0.67,0.72,0.69,12.1
0.60,0.29,0.17,0.66,0.82,0.73,11.78
0.65,0.24,0.12,0.65,0.87,0.74,11.46
0.70,0.18,0.05,0.63,0.92,0.74,10.51
std
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 123.14 seconds
