,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.02,0.02,0.7,0.04,0.08,562.95
0.65,0.09,0.15,0.79,0.19,0.3,428.41
0.70,0.23,0.38,0.74,0.43,0.55,341.57
0.75,0.35,0.24,0.68,0.65,0.67,242.46
0.80,0.22,0.05,0.63,0.83,0.72,162.72
0.85,0.08,0.01,0.6,0.96,0.73,87.94
0.90,0.0,0.0,0.58,0.99,0.73,51.32
max
0.60,0.02,0.02,0.7,0.04,0.08,562.95
0.65,0.09,0.15,0.79,0.19,0.3,428.41
0.70,0.23,0.38,0.74,0.43,0.55,341.57
0.75,0.35,0.24,0.68,0.65,0.67,242.46
0.80,0.22,0.05,0.63,0.83,0.72,162.72
0.85,0.08,0.01,0.6,0.96,0.73,87.94
0.90,0.0,0.0,0.58,0.99,0.73,51.32
min
0.60,0.02,0.02,0.7,0.04,0.08,562.95
0.65,0.09,0.15,0.79,0.19,0.3,428.41
0.70,0.23,0.38,0.74,0.43,0.55,341.57
0.75,0.35,0.24,0.68,0.65,0.67,242.46
0.80,0.22,0.05,0.63,0.83,0.72,162.72
0.85,0.08,0.01,0.6,0.96,0.73,87.94
0.90,0.0,0.0,0.58,0.99,0.73,51.32
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 66339.67 seconds
