,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.0,0.0,1.0,0.01,0.01,114.24
0.65,0.01,0.01,0.98,0.02,0.03,109.97
0.70,0.02,0.02,0.88,0.06,0.11,124.96
0.75,0.1,0.09,0.84,0.24,0.37,124.0
0.80,0.28,0.25,0.76,0.58,0.66,96.92
0.85,0.18,0.17,0.64,0.94,0.77,44.8
0.90,0.01,0.0,0.58,0.99,0.73,32.54
max
0.60,0.0,0.0,1.0,0.01,0.01,114.24
0.65,0.01,0.01,0.98,0.02,0.03,109.97
0.70,0.02,0.02,0.88,0.06,0.11,124.96
0.75,0.1,0.09,0.84,0.24,0.37,124.0
0.80,0.28,0.25,0.76,0.58,0.66,96.92
0.85,0.18,0.17,0.64,0.94,0.77,44.8
0.90,0.01,0.0,0.58,0.99,0.73,32.54
min
0.60,0.0,0.0,1.0,0.01,0.01,114.24
0.65,0.01,0.01,0.98,0.02,0.03,109.97
0.70,0.02,0.02,0.88,0.06,0.11,124.96
0.75,0.1,0.09,0.84,0.24,0.37,124.0
0.80,0.28,0.25,0.76,0.58,0.66,96.92
0.85,0.18,0.17,0.64,0.94,0.77,44.8
0.90,0.01,0.0,0.58,0.99,0.73,32.54
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 14180.60 seconds
