,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.0,0.0,0.64,0.01,0.02,16.93
0.65,0.03,0.04,0.72,0.08,0.14,15.31
0.70,0.14,0.24,0.71,0.3,0.43,13.53
0.75,0.23,0.32,0.69,0.48,0.57,14.16
0.80,0.25,0.09,0.63,0.72,0.67,13.41
0.85,0.12,0.01,0.6,0.9,0.72,11.19
0.90,0.01,0.0,0.58,0.98,0.73,9.64
max
0.60,0.0,0.0,0.64,0.01,0.02,16.93
0.65,0.03,0.04,0.72,0.08,0.14,15.31
0.70,0.14,0.24,0.71,0.3,0.43,13.53
0.75,0.23,0.32,0.69,0.48,0.57,14.16
0.80,0.25,0.09,0.63,0.72,0.67,13.41
0.85,0.12,0.01,0.6,0.9,0.72,11.19
0.90,0.01,0.0,0.58,0.98,0.73,9.64
min
0.60,0.0,0.0,0.64,0.01,0.02,16.93
0.65,0.03,0.04,0.72,0.08,0.14,15.31
0.70,0.14,0.24,0.71,0.3,0.43,13.53
0.75,0.23,0.32,0.69,0.48,0.57,14.16
0.80,0.25,0.09,0.63,0.72,0.67,13.41
0.85,0.12,0.01,0.6,0.9,0.72,11.19
0.90,0.01,0.0,0.58,0.98,0.73,9.64
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 11753.97 seconds
