,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.33,0.31,0.7,0.61,0.65,19.17
0.65,0.32,0.19,0.66,0.73,0.7,18.53
0.70,0.24,0.07,0.64,0.83,0.72,18.69
0.75,0.17,0.03,0.62,0.91,0.74,15.52
0.80,0.09,0.01,0.6,0.96,0.74,14.66
0.85,0.03,0.0,0.58,0.97,0.73,11.1
0.90,0.0,0.0,0.58,0.99,0.73,12.81
max
0.60,0.33,0.31,0.7,0.61,0.65,19.17
0.65,0.32,0.19,0.66,0.73,0.7,18.53
0.70,0.24,0.07,0.64,0.83,0.72,18.69
0.75,0.17,0.03,0.62,0.91,0.74,15.52
0.80,0.09,0.01,0.6,0.96,0.74,14.66
0.85,0.03,0.0,0.58,0.97,0.73,11.1
0.90,0.0,0.0,0.58,0.99,0.73,12.81
min
0.60,0.33,0.31,0.7,0.61,0.65,19.17
0.65,0.32,0.19,0.66,0.73,0.7,18.53
0.70,0.24,0.07,0.64,0.83,0.72,18.69
0.75,0.17,0.03,0.62,0.91,0.74,15.52
0.80,0.09,0.01,0.6,0.96,0.74,14.66
0.85,0.03,0.0,0.58,0.97,0.73,11.1
0.90,0.0,0.0,0.58,0.99,0.73,12.81
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 149.51 seconds
