,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.19,0.08,0.59,0.51,0.55,226.0
0.65,0.23,0.06,0.6,0.6,0.6,182.34
0.70,0.22,0.05,0.6,0.69,0.64,153.16
0.75,0.18,0.02,0.6,0.77,0.67,127.06
0.80,0.14,0.02,0.6,0.86,0.71,91.35
0.85,0.07,0.01,0.59,0.96,0.73,48.71
0.90,0.0,0.0,0.58,0.99,0.73,30.22
max
0.60,0.19,0.08,0.59,0.51,0.55,226.0
0.65,0.23,0.06,0.6,0.6,0.6,182.34
0.70,0.22,0.05,0.6,0.69,0.64,153.16
0.75,0.18,0.02,0.6,0.77,0.67,127.06
0.80,0.14,0.02,0.6,0.86,0.71,91.35
0.85,0.07,0.01,0.59,0.96,0.73,48.71
0.90,0.0,0.0,0.58,0.99,0.73,30.22
min
0.60,0.19,0.08,0.59,0.51,0.55,226.0
0.65,0.23,0.06,0.6,0.6,0.6,182.34
0.70,0.22,0.05,0.6,0.69,0.64,153.16
0.75,0.18,0.02,0.6,0.77,0.67,127.06
0.80,0.14,0.02,0.6,0.86,0.71,91.35
0.85,0.07,0.01,0.59,0.96,0.73,48.71
0.90,0.0,0.0,0.58,0.99,0.73,30.22
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 67421.41 seconds
