,completeness,homogeneity,mutual_info,rand,v_measure
mean
3:7-0.45,0.65,0.08,0.08,0.03,0.13
3:7-0.5,0.88,0.62,0.61,0.42,0.73
3:7-0.55,0.88,0.88,0.87,0.82,0.88
3:7-0.6,0.8,0.96,0.76,0.77,0.87
3:7-0.65,0.66,0.99,0.56,0.5,0.79
4:6-0.45,0.87,0.28,0.27,0.12,0.42
4:6-0.5,0.91,0.72,0.71,0.58,0.8
4:6-0.55,0.9,0.92,0.89,0.87,0.91
4:6-0.6,0.8,0.97,0.77,0.78,0.88
4:6-0.65,0.66,0.99,0.56,0.5,0.79
5:5-0.45,0.91,0.42,0.41,0.23,0.57
5:5-0.5,0.92,0.79,0.78,0.68,0.85
5:5-0.55,0.91,0.94,0.9,0.89,0.92
5:5-0.6,0.81,0.97,0.78,0.79,0.88
5:5-0.65,0.67,0.99,0.58,0.53,0.8
6:4-0.45,0.91,0.53,0.52,0.31,0.66
6:4-0.5,0.93,0.84,0.83,0.75,0.88
6:4-0.55,0.91,0.94,0.9,0.9,0.93
6:4-0.6,0.81,0.98,0.78,0.8,0.89
6:4-0.65,0.68,0.99,0.59,0.55,0.8
7:3-0.45,0.92,0.59,0.58,0.39,0.72
7:3-0.5,0.93,0.86,0.85,0.79,0.89
7:3-0.55,0.91,0.95,0.9,0.9,0.93
7:3-0.6,0.82,0.97,0.79,0.8,0.89
7:3-0.65,0.69,0.99,0.61,0.58,0.81
8:2-0.45,0.92,0.65,0.64,0.46,0.76
8:2-0.5,0.93,0.87,0.86,0.81,0.9
8:2-0.55,0.9,0.95,0.89,0.9,0.93
8:2-0.6,0.83,0.97,0.8,0.82,0.89
8:2-0.65,0.71,0.99,0.64,0.62,0.82
9:1-0.45,0.91,0.69,0.68,0.51,0.79
9:1-0.5,0.92,0.87,0.86,0.81,0.89
9:1-0.55,0.9,0.94,0.89,0.89,0.92
9:1-0.6,0.83,0.97,0.81,0.83,0.89
9:1-0.65,0.73,0.99,0.67,0.65,0.84
max
3:7-0.45,1.0,0.22,0.21,0.09,0.35
3:7-0.5,0.91,0.74,0.73,0.64,0.81
3:7-0.55,0.9,0.91,0.89,0.86,0.9
3:7-0.6,0.83,0.97,0.81,0.84,0.89
3:7-0.65,0.68,0.99,0.6,0.6,0.8
4:6-0.45,0.95,0.45,0.44,0.24,0.61
4:6-0.5,0.95,0.78,0.77,0.73,0.85
4:6-0.55,0.92,0.94,0.91,0.92,0.93
4:6-0.6,0.84,0.98,0.82,0.86,0.9
4:6-0.65,0.68,0.99,0.6,0.58,0.81
5:5-0.45,0.95,0.55,0.54,0.39,0.69
5:5-0.5,0.94,0.83,0.82,0.79,0.88
5:5-0.55,0.93,0.96,0.92,0.93,0.94
5:5-0.6,0.85,0.99,0.83,0.86,0.91
5:5-0.65,0.69,0.99,0.62,0.62,0.82
6:4-0.45,0.95,0.63,0.62,0.48,0.74
6:4-0.5,0.95,0.88,0.88,0.85,0.91
6:4-0.55,0.93,0.95,0.92,0.93,0.94
6:4-0.6,0.85,0.98,0.83,0.86,0.91
6:4-0.65,0.7,0.99,0.63,0.63,0.82
7:3-0.45,0.95,0.68,0.67,0.51,0.78
7:3-0.5,0.95,0.9,0.89,0.87,0.92
7:3-0.55,0.94,0.96,0.93,0.94,0.95
7:3-0.6,0.86,0.99,0.84,0.87,0.92
7:3-0.65,0.72,0.99,0.65,0.65,0.83
8:2-0.45,0.95,0.7,0.7,0.56,0.8
8:2-0.5,0.95,0.9,0.89,0.86,0.91
8:2-0.55,0.92,0.96,0.91,0.92,0.94
8:2-0.6,0.87,0.98,0.85,0.89,0.92
8:2-0.65,0.73,0.99,0.68,0.68,0.84
9:1-0.45,0.94,0.76,0.75,0.65,0.84
9:1-0.5,0.95,0.9,0.89,0.86,0.92
9:1-0.55,0.92,0.95,0.91,0.92,0.93
9:1-0.6,0.87,0.98,0.85,0.9,0.91
9:1-0.65,0.76,0.99,0.71,0.73,0.86
min
3:7-0.45,0.18,-0.0,0.0,-0.0,-0.0
3:7-0.5,0.84,0.5,0.48,0.25,0.63
3:7-0.55,0.86,0.85,0.84,0.74,0.85
3:7-0.6,0.77,0.95,0.73,0.69,0.85
3:7-0.65,0.63,0.98,0.52,0.36,0.77
4:6-0.45,0.8,0.18,0.18,0.07,0.3
4:6-0.5,0.86,0.66,0.65,0.49,0.76
4:6-0.55,0.88,0.91,0.86,0.83,0.89
4:6-0.6,0.77,0.96,0.73,0.69,0.86
4:6-0.65,0.63,0.98,0.52,0.38,0.77
5:5-0.45,0.87,0.32,0.31,0.13,0.47
5:5-0.5,0.88,0.75,0.73,0.58,0.82
5:5-0.55,0.88,0.9,0.87,0.83,0.89
5:5-0.6,0.77,0.97,0.72,0.68,0.86
5:5-0.65,0.64,0.99,0.54,0.4,0.78
6:4-0.45,0.89,0.41,0.4,0.2,0.57
6:4-0.5,0.9,0.78,0.77,0.64,0.85
6:4-0.55,0.9,0.93,0.89,0.87,0.92
6:4-0.6,0.78,0.97,0.74,0.7,0.87
6:4-0.65,0.64,0.99,0.55,0.41,0.78
7:3-0.45,0.89,0.51,0.49,0.22,0.65
7:3-0.5,0.9,0.82,0.81,0.68,0.86
7:3-0.55,0.88,0.94,0.87,0.86,0.91
7:3-0.6,0.79,0.97,0.75,0.72,0.87
7:3-0.65,0.66,0.99,0.57,0.45,0.79
8:2-0.45,0.9,0.57,0.55,0.33,0.71
8:2-0.5,0.91,0.83,0.82,0.71,0.87
8:2-0.55,0.88,0.94,0.87,0.86,0.91
8:2-0.6,0.8,0.97,0.76,0.73,0.88
8:2-0.65,0.68,0.98,0.6,0.5,0.8
9:1-0.45,0.88,0.59,0.57,0.33,0.72
9:1-0.5,0.89,0.83,0.81,0.68,0.86
9:1-0.55,0.88,0.93,0.86,0.85,0.91
9:1-0.6,0.8,0.96,0.76,0.74,0.87
9:1-0.65,0.7,0.98,0.63,0.55,0.82
std
3:7-0.45,0.29,0.08,0.08,0.03,0.13
3:7-0.5,0.02,0.05,0.05,0.09,0.04
3:7-0.55,0.01,0.02,0.01,0.03,0.01
