,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.94,0.15,0.14,0.04,0.25
0.45,0.93,0.55,0.54,0.31,0.69
0.50,0.93,0.82,0.81,0.73,0.87
0.55,0.92,0.92,0.9,0.86,0.92
0.60,0.89,0.96,0.87,0.89,0.92
0.65,0.81,0.98,0.78,0.81,0.89
0.70,0.7,0.99,0.62,0.63,0.82
0.75,0.61,1.0,0.48,0.43,0.76
max
0.40,1.0,0.33,0.32,0.11,0.48
0.45,0.96,0.66,0.65,0.48,0.77
0.50,0.96,0.87,0.86,0.84,0.9
0.55,0.95,0.94,0.93,0.92,0.94
0.60,0.91,0.98,0.91,0.92,0.94
0.65,0.84,0.99,0.81,0.86,0.9
0.70,0.73,1.0,0.67,0.75,0.84
0.75,0.64,1.0,0.52,0.56,0.78
min
0.40,0.84,0.0,0.0,0.0,0.0
0.45,0.89,0.3,0.29,0.07,0.46
0.50,0.91,0.77,0.75,0.59,0.83
0.55,0.9,0.89,0.87,0.77,0.9
0.60,0.86,0.94,0.85,0.83,0.91
0.65,0.77,0.97,0.72,0.73,0.86
0.70,0.65,0.99,0.55,0.48,0.79
0.75,0.57,0.99,0.4,0.26,0.72
std
0.40,0.04,0.07,0.07,0.02,0.1
0.45,0.02,0.09,0.09,0.11,0.08
0.50,0.01,0.03,0.03,0.07,0.02
0.55,0.01,0.01,0.01,0.04,0.01
0.60,0.01,0.01,0.02,0.02,0.01
0.65,0.02,0.01,0.02,0.03,0.01
0.70,0.02,0.0,0.03,0.07,0.01
0.75,0.02,0.0,0.03,0.07,0.01
test finished in 48632.61 seconds
