,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.81,0.05,0.04,0.01,0.09
0.45,0.89,0.32,0.31,0.12,0.47
0.50,0.91,0.7,0.69,0.53,0.79
0.55,0.91,0.86,0.85,0.77,0.88
0.60,0.89,0.93,0.88,0.85,0.91
0.65,0.83,0.97,0.8,0.83,0.89
0.70,0.72,0.99,0.65,0.69,0.83
0.75,0.61,1.0,0.48,0.47,0.76
max
0.40,1.0,0.2,0.2,0.1,0.33
0.45,0.96,0.53,0.52,0.34,0.67
0.50,0.96,0.8,0.79,0.73,0.86
0.55,0.96,0.91,0.9,0.89,0.92
0.60,0.93,0.96,0.93,0.93,0.94
0.65,0.88,0.98,0.87,0.93,0.93
0.70,0.78,1.0,0.74,0.86,0.88
0.75,0.65,1.0,0.54,0.62,0.79
min
0.40,0.14,0.0,0.0,-0.0,0.0
0.45,0.78,0.1,0.09,0.01,0.17
0.50,0.87,0.54,0.52,0.22,0.67
0.55,0.88,0.76,0.74,0.55,0.82
0.60,0.85,0.89,0.83,0.74,0.88
0.65,0.79,0.96,0.75,0.75,0.87
0.70,0.67,0.98,0.58,0.55,0.8
0.75,0.57,0.99,0.42,0.31,0.73
std
0.40,0.22,0.05,0.05,0.01,0.08
0.45,0.03,0.1,0.1,0.07,0.11
0.50,0.02,0.05,0.05,0.1,0.04
0.55,0.02,0.03,0.03,0.06,0.02
0.60,0.01,0.02,0.02,0.04,0.01
0.65,0.02,0.01,0.02,0.03,0.01
0.70,0.02,0.0,0.03,0.05,0.01
0.75,0.02,0.0,0.03,0.07,0.01
test finished in 195200.03 seconds
