,completeness,homogeneity,mutual_info,rand,v_measure
mean
3:7-0.45,0.92,0.08,0.08,0.03,0.14
3:7-0.5,0.91,0.62,0.61,0.43,0.74
3:7-0.55,0.91,0.71,0.7,0.55,0.8
3:7-0.6,0.91,0.71,0.7,0.55,0.8
3:7-0.65,0.91,0.71,0.7,0.55,0.8
4:6-0.45,0.91,0.29,0.28,0.12,0.44
4:6-0.5,0.91,0.69,0.68,0.52,0.78
4:6-0.55,0.91,0.71,0.7,0.55,0.8
4:6-0.6,0.91,0.71,0.7,0.55,0.8
4:6-0.65,0.91,0.71,0.7,0.55,0.8
5:5-0.45,0.91,0.39,0.38,0.18,0.55
5:5-0.5,0.91,0.71,0.7,0.55,0.8
5:5-0.55,0.91,0.71,0.7,0.55,0.8
5:5-0.6,0.91,0.71,0.7,0.55,0.8
5:5-0.65,0.91,0.71,0.7,0.55,0.8
6:4-0.45,0.91,0.5,0.49,0.27,0.65
6:4-0.5,0.91,0.71,0.7,0.55,0.8
6:4-0.55,0.91,0.71,0.7,0.55,0.8
6:4-0.6,0.91,0.71,0.7,0.55,0.8
6:4-0.65,0.91,0.71,0.7,0.55,0.8
7:3-0.45,0.91,0.58,0.57,0.36,0.71
7:3-0.5,0.91,0.71,0.7,0.55,0.8
7:3-0.55,0.91,0.71,0.7,0.55,0.8
7:3-0.6,0.91,0.71,0.7,0.55,0.8
7:3-0.65,0.91,0.71,0.7,0.55,0.8
8:2-0.45,0.91,0.64,0.63,0.45,0.75
8:2-0.5,0.91,0.71,0.7,0.55,0.8
8:2-0.55,0.91,0.71,0.7,0.55,0.8
8:2-0.6,0.91,0.71,0.7,0.55,0.8
8:2-0.65,0.91,0.71,0.7,0.55,0.8
9:1-0.45,0.91,0.69,0.67,0.5,0.78
9:1-0.5,0.91,0.71,0.7,0.55,0.8
9:1-0.55,0.91,0.71,0.7,0.55,0.8
9:1-0.6,0.91,0.71,0.7,0.55,0.8
9:1-0.65,0.91,0.71,0.7,0.55,0.8
max
3:7-0.45,1.0,0.25,0.24,0.1,0.39
3:7-0.5,0.94,0.68,0.67,0.52,0.78
3:7-0.55,0.94,0.76,0.75,0.65,0.84
3:7-0.6,0.94,0.76,0.75,0.65,0.84
3:7-0.65,0.94,0.76,0.75,0.65,0.84
4:6-0.45,0.97,0.42,0.41,0.21,0.58
4:6-0.5,0.94,0.73,0.71,0.6,0.81
4:6-0.55,0.94,0.76,0.75,0.65,0.84
4:6-0.6,0.94,0.76,0.75,0.65,0.84
4:6-0.65,0.94,0.76,0.75,0.65,0.84
5:5-0.45,0.96,0.48,0.47,0.27,0.63
5:5-0.5,0.94,0.76,0.75,0.65,0.84
5:5-0.55,0.94,0.76,0.75,0.65,0.84
5:5-0.6,0.94,0.76,0.75,0.65,0.84
5:5-0.65,0.94,0.76,0.75,0.65,0.84
6:4-0.45,0.95,0.57,0.56,0.37,0.7
6:4-0.5,0.94,0.76,0.75,0.65,0.84
6:4-0.55,0.94,0.76,0.75,0.65,0.84
6:4-0.6,0.94,0.76,0.75,0.65,0.84
6:4-0.65,0.94,0.76,0.75,0.65,0.84
7:3-0.45,0.94,0.64,0.63,0.48,0.75
7:3-0.5,0.94,0.76,0.75,0.65,0.84
7:3-0.55,0.94,0.76,0.75,0.65,0.84
7:3-0.6,0.94,0.76,0.75,0.65,0.84
7:3-0.65,0.94,0.76,0.75,0.65,0.84
8:2-0.45,0.94,0.71,0.7,0.59,0.8
8:2-0.5,0.94,0.76,0.75,0.65,0.84
8:2-0.55,0.94,0.76,0.75,0.65,0.84
8:2-0.6,0.94,0.76,0.75,0.65,0.84
8:2-0.65,0.94,0.76,0.75,0.65,0.84
9:1-0.45,0.94,0.76,0.75,0.65,0.84
9:1-0.5,0.94,0.76,0.75,0.65,0.84
9:1-0.55,0.94,0.76,0.75,0.65,0.84
9:1-0.6,0.94,0.76,0.75,0.65,0.84
9:1-0.65,0.94,0.76,0.75,0.65,0.84
min
3:7-0.45,0.45,0.0,0.0,0.0,0.0
3:7-0.5,0.88,0.57,0.56,0.35,0.7
3:7-0.55,0.88,0.66,0.64,0.41,0.77
3:7-0.6,0.88,0.66,0.64,0.41,0.77
3:7-0.65,0.88,0.66,0.64,0.41,0.77
4:6-0.45,0.86,0.2,0.19,0.05,0.32
4:6-0.5,0.88,0.63,0.61,0.4,0.74
4:6-0.55,0.88,0.66,0.64,0.41,0.77
4:6-0.6,0.88,0.66,0.64,0.41,0.77
4:6-0.65,0.88,0.66,0.64,0.41,0.77
5:5-0.45,0.86,0.26,0.25,0.1,0.4
5:5-0.5,0.88,0.65,0.63,0.41,0.76
5:5-0.55,0.88,0.66,0.64,0.41,0.77
5:5-0.6,0.88,0.66,0.64,0.41,0.77
5:5-0.65,0.88,0.66,0.64,0.41,0.77
6:4-0.45,0.87,0.43,0.42,0.2,0.58
6:4-0.5,0.88,0.66,0.64,0.41,0.77
6:4-0.55,0.88,0.66,0.64,0.41,0.77
6:4-0.6,0.88,0.66,0.64,0.41,0.77
6:4-0.65,0.88,0.66,0.64,0.41,0.77
7:3-0.45,0.87,0.51,0.49,0.25,0.66
7:3-0.5,0.88,0.66,0.64,0.41,0.77
7:3-0.55,0.88,0.66,0.64,0.41,0.77
7:3-0.6,0.88,0.66,0.64,0.41,0.77
7:3-0.65,0.88,0.66,0.64,0.41,0.77
8:2-0.45,0.88,0.55,0.54,0.29,0.69
8:2-0.5,0.88,0.66,0.64,0.41,0.77
8:2-0.55,0.88,0.66,0.64,0.41,0.77
8:2-0.6,0.88,0.66,0.64,0.41,0.77
8:2-0.65,0.88,0.66,0.64,0.41,0.77
9:1-0.45,0.88,0.63,0.62,0.4,0.74
9:1-0.5,0.88,0.66,0.64,0.41,0.77
9:1-0.55,0.88,0.66,0.64,0.41,0.77
9:1-0.6,0.88,0.66,0.64,0.41,0.77
9:1-0.65,0.88,0.66,0.64,0.41,0.77
std
3:7-0.45,0.1,0.08,0.08,0.04,0.12
3:7-0.5,0.02,0.03,0.03,0.05,0.02
3:7-0.55,0.01,0.03,0.03,0.06,0.02
3:7-0.6,0.01,0.03,0.03,0.06,0.02
3:7-0.65,0.01,0.03,0.03,0.06,0.02
4:6-0.45,0.03,0.06,0.06,0.04,0.06
4:6-0.5,0.01,0.03,0.03,0.05,0.02
4:6-0.55,0.01,0.03,0.03,0.06,0.02
4:6-0.6,0.01,0.03,0.03,0.06,0.02
4:6-0.65,0.01,0.03,0.03,0.06,0.02
5:5-0.45,0.03,0.05,0.05,0.05,0.05
5:5-0.5,0.01,0.03,0.03,0.06,0.02
5:5-0.55,0.01,0.03,0.03,0.06,0.02
5:5-0.6,0.01,0.03,0.03,0.06,0.02
5:5-0.65,0.01,0.03,0.03,0.06,0.02
6:4-0.45,0.02,0.04,0.04,0.05,0.03
6:4-0.5,0.01,0.03,0.03,0.06,0.02
6:4-0.55,0.01,0.03,0.03,0.06,0.02
6:4-0.6,0.01,0.03,0.03,0.06,0.02
6:4-0.65,0.01,0.03,0.03,0.06,0.02
7:3-0.45,0.02,0.03,0.04,0.05,0.03
7:3-0.5,0.01,0.03,0.03,0.06,0.02
7:3-0.55,0.01,0.03,0.03,0.06,0.02
7:3-0.6,0.01,0.03,0.03,0.06,0.02
7:3-0.65,0.01,0.03,0.03,0.06,0.02
8:2-0.45,0.02,0.04,0.04,0.06,0.03
8:2-0.5,0.01,0.03,0.03,0.06,0.02
8:2-0.55,0.01,0.03,0.03,0.06,0.02
8:2-0.6,0.01,0.03,0.03,0.06,0.02
8:2-0.65,0.01,0.03,0.03,0.06,0.02
9:1-0.45,0.01,0.04,0.04,0.06,0.03
9:1-0.5,0.01,0.03,0.03,0.06,0.02
9:1-0.55,0.01,0.03,0.03,0.06,0.02
9:1-0.6,0.01,0.03,0.03,0.06,0.02
9:1-0.65,0.01,0.03,0.03,0.06,0.02
test finished in 37935.38 seconds
