,completeness,homogeneity,mutual_info,rand,v_measure
mean
3:7-0.45,0.68,0.1,0.09,0.04,0.16
3:7-0.5,0.91,0.67,0.66,0.5,0.77
3:7-0.55,0.91,0.92,0.9,0.88,0.92
3:7-0.6,0.87,0.96,0.85,0.86,0.91
3:7-0.65,0.85,0.96,0.82,0.84,0.9
4:6-0.45,0.9,0.28,0.28,0.13,0.43
4:6-0.5,0.92,0.76,0.75,0.63,0.83
4:6-0.55,0.91,0.94,0.9,0.89,0.92
4:6-0.6,0.86,0.96,0.84,0.85,0.9
4:6-0.65,0.85,0.96,0.82,0.84,0.9
5:5-0.45,0.91,0.44,0.43,0.24,0.59
5:5-0.5,0.92,0.81,0.79,0.69,0.86
5:5-0.55,0.91,0.94,0.9,0.9,0.92
5:5-0.6,0.85,0.96,0.83,0.85,0.9
5:5-0.65,0.85,0.96,0.82,0.84,0.9
6:4-0.45,0.91,0.54,0.52,0.32,0.68
6:4-0.5,0.92,0.85,0.84,0.77,0.88
6:4-0.55,0.9,0.94,0.89,0.9,0.92
6:4-0.6,0.85,0.96,0.83,0.85,0.9
6:4-0.65,0.85,0.96,0.82,0.84,0.9
7:3-0.45,0.92,0.62,0.61,0.41,0.74
7:3-0.5,0.92,0.87,0.86,0.81,0.89
7:3-0.55,0.9,0.94,0.89,0.89,0.92
7:3-0.6,0.85,0.96,0.83,0.84,0.9
7:3-0.65,0.85,0.96,0.82,0.84,0.9
8:2-0.45,0.91,0.66,0.65,0.46,0.77
8:2-0.5,0.92,0.88,0.87,0.82,0.9
8:2-0.55,0.9,0.95,0.88,0.89,0.92
8:2-0.6,0.85,0.96,0.82,0.84,0.9
8:2-0.65,0.85,0.96,0.82,0.84,0.9
9:1-0.45,0.91,0.71,0.7,0.53,0.8
9:1-0.5,0.92,0.89,0.88,0.83,0.9
9:1-0.55,0.89,0.95,0.88,0.89,0.92
9:1-0.6,0.85,0.96,0.82,0.84,0.9
9:1-0.65,0.85,0.96,0.82,0.84,0.9
max
3:7-0.45,0.94,0.23,0.23,0.1,0.37
3:7-0.5,0.93,0.76,0.74,0.63,0.83
3:7-0.55,0.93,0.94,0.92,0.92,0.93
3:7-0.6,0.89,0.97,0.87,0.9,0.92
3:7-0.65,0.87,0.97,0.86,0.89,0.92
4:6-0.45,0.93,0.4,0.4,0.21,0.56
4:6-0.5,0.93,0.84,0.83,0.77,0.88
4:6-0.55,0.93,0.95,0.92,0.92,0.94
4:6-0.6,0.88,0.97,0.86,0.89,0.92
4:6-0.65,0.87,0.97,0.86,0.89,0.92
5:5-0.45,0.94,0.55,0.54,0.4,0.68
5:5-0.5,0.94,0.88,0.87,0.85,0.9
5:5-0.55,0.92,0.96,0.92,0.92,0.94
5:5-0.6,0.88,0.97,0.86,0.89,0.92
5:5-0.65,0.87,0.97,0.86,0.89,0.92
6:4-0.45,0.94,0.61,0.6,0.44,0.73
6:4-0.5,0.94,0.91,0.9,0.88,0.91
6:4-0.55,0.92,0.96,0.91,0.92,0.94
6:4-0.6,0.88,0.97,0.86,0.89,0.92
6:4-0.65,0.87,0.97,0.86,0.89,0.92
7:3-0.45,0.94,0.69,0.68,0.54,0.79
7:3-0.5,0.93,0.91,0.91,0.89,0.92
7:3-0.55,0.92,0.96,0.91,0.92,0.94
7:3-0.6,0.88,0.97,0.86,0.89,0.92
7:3-0.65,0.87,0.97,0.86,0.89,0.92
8:2-0.45,0.94,0.76,0.75,0.61,0.83
8:2-0.5,0.93,0.92,0.91,0.89,0.92
8:2-0.55,0.92,0.96,0.91,0.92,0.94
8:2-0.6,0.87,0.97,0.86,0.89,0.92
8:2-0.65,0.87,0.97,0.86,0.89,0.92
9:1-0.45,0.93,0.81,0.8,0.73,0.86
9:1-0.5,0.93,0.91,0.91,0.89,0.92
9:1-0.55,0.92,0.96,0.91,0.92,0.94
9:1-0.6,0.87,0.97,0.86,0.89,0.92
9:1-0.65,0.87,0.97,0.86,0.89,0.92
min
3:7-0.45,0.32,0.0,0.0,0.0,0.0
3:7-0.5,0.89,0.59,0.57,0.35,0.71
3:7-0.55,0.89,0.89,0.88,0.83,0.89
3:7-0.6,0.84,0.94,0.82,0.82,0.89
3:7-0.65,0.81,0.95,0.78,0.78,0.87
4:6-0.45,0.87,0.15,0.14,0.03,0.26
4:6-0.5,0.9,0.7,0.68,0.52,0.79
4:6-0.55,0.89,0.92,0.88,0.86,0.91
4:6-0.6,0.83,0.94,0.81,0.8,0.88
4:6-0.65,0.81,0.95,0.78,0.78,0.87
5:5-0.45,0.88,0.32,0.31,0.12,0.47
5:5-0.5,0.9,0.75,0.74,0.56,0.83
5:5-0.55,0.88,0.92,0.87,0.87,0.91
5:5-0.6,0.82,0.95,0.79,0.79,0.88
5:5-0.65,0.81,0.95,0.78,0.78,0.87
6:4-0.45,0.89,0.46,0.45,0.23,0.61
6:4-0.5,0.9,0.81,0.79,0.67,0.86
6:4-0.55,0.88,0.93,0.87,0.87,0.91
6:4-0.6,0.82,0.95,0.79,0.79,0.88
6:4-0.65,0.81,0.95,0.78,0.78,0.87
7:3-0.45,0.89,0.53,0.51,0.25,0.67
7:3-0.5,0.89,0.82,0.81,0.73,0.86
7:3-0.55,0.87,0.93,0.86,0.87,0.9
7:3-0.6,0.81,0.95,0.78,0.79,0.88
7:3-0.65,0.81,0.95,0.78,0.78,0.87
8:2-0.45,0.89,0.55,0.53,0.3,0.68
8:2-0.5,0.89,0.85,0.84,0.74,0.88
8:2-0.55,0.87,0.93,0.85,0.87,0.9
8:2-0.6,0.81,0.95,0.78,0.78,0.88
8:2-0.65,0.81,0.95,0.78,0.78,0.87
9:1-0.45,0.9,0.63,0.61,0.36,0.74
9:1-0.5,0.89,0.86,0.85,0.77,0.88
9:1-0.55,0.86,0.93,0.84,0.86,0.9
9:1-0.6,0.81,0.95,0.78,0.78,0.88
9:1-0.65,0.81,0.95,0.78,0.78,0.87
std
3:7-0.45,0.24,0.1,0.09,0.04,0.15
3:7-0.5,0.01,0.04,0.04,0.08,0.03
3:7-0.55,0.01,0.01,0.01,0.02,0.01
3:7-0.6,0.01,0.01,0.01,0.02,0.01
3:7-0.65,0.02,0.01,0.02,0.03,0.01
4:6-0.45,0.02,0.07,0.07,0.04,0.08
4:6-0.5,0.01,0.03,0.03,0.06,0.02
4:6-0.55,0.01,0.01,0.01,0.02,0.01
4:6-0.6,0.02,0.01,0.02,0.02,0.01
4:6-0.65,0.02,0.01,0.02,0.03,0.01
5:5-0.45,0.02,0.06,0.06,0.07,0.06
5:5-0.5,0.01,0.03,0.03,0.07,0.02
5:5-0.55,0.01,0.01,0.01,0.02,0.01
5:5-0.6,0.02,0.01,0.02,0.03,0.01
5:5-0.65,0.02,0.01,0.02,0.03,0.01
6:4-0.45,0.01,0.04,0.04,0.06,0.03
6:4-0.5,0.01,0.03,0.03,0.06,0.02
6:4-0.55,0.01,0.01,0.01,0.02,0.01
6:4-0.6,0.02,0.01,0.02,0.03,0.01
6:4-0.65,0.02,0.01,0.02,0.03,0.01
7:3-0.45,0.01,0.04,0.04,0.08,0.03
7:3-0.5,0.01,0.02,0.02,0.04,0.01
7:3-0.55,0.01,0.01,0.01,0.02,0.01
7:3-0.6,0.02,0.01,0.02,0.03,0.01
7:3-0.65,0.02,0.01,0.02,0.03,0.01
8:2-0.45,0.01,0.04,0.04,0.07,0.03
8:2-0.5,0.01,0.02,0.02,0.04,0.01
8:2-0.55,0.01,0.01,0.01,0.01,0.01
8:2-0.6,0.02,0.01,0.02,0.03,0.01
8:2-0.65,0.02,0.01,0.02,0.03,0.01
9:1-0.45,0.01,0.04,0.05,0.09,0.03
9:1-0.5,0.01,0.02,0.02,0.04,0.01
9:1-0.55,0.01,0.01,0.02,0.02,0.01
9:1-0.6,0.02,0.01,0.02,0.03,0.01
9:1-0.65,0.02,0.01,0.02,0.03,0.01
test finished in 35729.69 seconds
