,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.25,0.22,0.88,0.57,0.69,41.79
0.10,0.37,0.41,0.86,0.73,0.79,33.36
0.15,0.43,0.31,0.85,0.79,0.82,44.28
0.20,0.49,0.3,0.85,0.84,0.84,40.67
0.25,0.49,0.31,0.85,0.89,0.87,36.37
0.30,0.44,0.24,0.84,0.92,0.88,34.55
0.35,0.39,0.18,0.83,0.97,0.89,30.94
0.40,0.38,0.18,0.83,0.98,0.9,29.6
0.45,0.3,0.08,0.81,0.99,0.89,26.72
max
0.05,0.25,0.22,0.88,0.57,0.69,41.79
0.10,0.37,0.41,0.86,0.73,0.79,33.36
0.15,0.43,0.31,0.85,0.79,0.82,44.28
0.20,0.49,0.3,0.85,0.84,0.84,40.67
0.25,0.49,0.31,0.85,0.89,0.87,36.37
0.30,0.44,0.24,0.84,0.92,0.88,34.55
0.35,0.39,0.18,0.83,0.97,0.89,30.94
0.40,0.38,0.18,0.83,0.98,0.9,29.6
0.45,0.3,0.08,0.81,0.99,0.89,26.72
min
0.05,0.25,0.22,0.88,0.57,0.69,41.79
0.10,0.37,0.41,0.86,0.73,0.79,33.36
0.15,0.43,0.31,0.85,0.79,0.82,44.28
0.20,0.49,0.3,0.85,0.84,0.84,40.67
0.25,0.49,0.31,0.85,0.89,0.87,36.37
0.30,0.44,0.24,0.84,0.92,0.88,34.55
0.35,0.39,0.18,0.83,0.97,0.89,30.94
0.40,0.38,0.18,0.83,0.98,0.9,29.6
0.45,0.3,0.08,0.81,0.99,0.89,26.72
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 338.99 seconds
