,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.45,0.41,0.75,0.7,0.73,249.71
0.10,0.48,0.31,0.74,0.77,0.76,199.94
0.15,0.46,0.34,0.74,0.82,0.78,174.66
0.20,0.35,0.13,0.69,0.88,0.78,135.91
0.25,0.31,0.09,0.68,0.92,0.78,111.23
0.30,0.27,0.06,0.66,0.95,0.78,94.54
0.35,0.23,0.04,0.65,0.98,0.78,69.7
0.40,0.21,0.04,0.64,0.98,0.78,63.09
0.45,0.19,0.03,0.64,0.99,0.78,49.35
max
0.05,0.45,0.41,0.75,0.7,0.73,249.71
0.10,0.48,0.31,0.74,0.77,0.76,199.94
0.15,0.46,0.34,0.74,0.82,0.78,174.66
0.20,0.35,0.13,0.69,0.88,0.78,135.91
0.25,0.31,0.09,0.68,0.92,0.78,111.23
0.30,0.27,0.06,0.66,0.95,0.78,94.54
0.35,0.23,0.04,0.65,0.98,0.78,69.7
0.40,0.21,0.04,0.64,0.98,0.78,63.09
0.45,0.19,0.03,0.64,0.99,0.78,49.35
min
0.05,0.45,0.41,0.75,0.7,0.73,249.71
0.10,0.48,0.31,0.74,0.77,0.76,199.94
0.15,0.46,0.34,0.74,0.82,0.78,174.66
0.20,0.35,0.13,0.69,0.88,0.78,135.91
0.25,0.31,0.09,0.68,0.92,0.78,111.23
0.30,0.27,0.06,0.66,0.95,0.78,94.54
0.35,0.23,0.04,0.65,0.98,0.78,69.7
0.40,0.21,0.04,0.64,0.98,0.78,63.09
0.45,0.19,0.03,0.64,0.99,0.78,49.35
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 11943.93 seconds
