,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.01,0.01,0.88,0.03,0.05,897.06
0.10,0.1,0.08,0.91,0.21,0.34,658.58
0.15,0.22,0.19,0.86,0.44,0.58,577.34
0.20,0.47,0.44,0.81,0.72,0.76,533.08
0.25,0.47,0.48,0.76,0.86,0.8,551.69
0.30,0.36,0.4,0.71,0.92,0.8,547.07
0.35,0.23,0.19,0.66,0.94,0.77,447.2
0.40,0.14,0.09,0.62,0.96,0.76,354.24
0.45,0.1,0.06,0.61,0.97,0.75,354.85
max
0.05,0.01,0.01,0.88,0.03,0.05,897.06
0.10,0.1,0.08,0.91,0.21,0.34,658.58
0.15,0.22,0.19,0.86,0.44,0.58,577.34
0.20,0.47,0.44,0.81,0.72,0.76,533.08
0.25,0.47,0.48,0.76,0.86,0.8,551.69
0.30,0.36,0.4,0.71,0.92,0.8,547.07
0.35,0.23,0.19,0.66,0.94,0.77,447.2
0.40,0.14,0.09,0.62,0.96,0.76,354.24
0.45,0.1,0.06,0.61,0.97,0.75,354.85
min
0.05,0.01,0.01,0.88,0.03,0.05,897.06
0.10,0.1,0.08,0.91,0.21,0.34,658.58
0.15,0.22,0.19,0.86,0.44,0.58,577.34
0.20,0.47,0.44,0.81,0.72,0.76,533.08
0.25,0.47,0.48,0.76,0.86,0.8,551.69
0.30,0.36,0.4,0.71,0.92,0.8,547.07
0.35,0.23,0.19,0.66,0.94,0.77,447.2
0.40,0.14,0.09,0.62,0.96,0.76,354.24
0.45,0.1,0.06,0.61,0.97,0.75,354.85
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 16908.69 seconds
