,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.9,0.38,0.37,0.18,0.53
0.45,0.91,0.71,0.69,0.53,0.79
0.50,0.91,0.88,0.87,0.82,0.9
0.55,0.89,0.95,0.87,0.88,0.92
0.60,0.83,0.97,0.8,0.83,0.89
0.65,0.75,0.98,0.7,0.7,0.85
0.70,0.75,0.98,0.7,0.7,0.85
0.75,0.75,0.98,0.7,0.7,0.85
max
0.40,0.97,0.51,0.5,0.32,0.65
0.45,0.94,0.78,0.77,0.71,0.85
0.50,0.94,0.94,0.93,0.93,0.94
0.55,0.92,0.97,0.91,0.93,0.95
0.60,0.87,0.99,0.85,0.92,0.92
0.65,0.81,0.99,0.77,0.82,0.89
0.70,0.81,0.99,0.77,0.82,0.89
0.75,0.81,0.99,0.77,0.82,0.89
min
0.40,0.85,0.13,0.12,0.03,0.22
0.45,0.87,0.6,0.58,0.3,0.72
0.50,0.86,0.81,0.79,0.65,0.84
0.55,0.84,0.92,0.82,0.82,0.89
0.60,0.77,0.96,0.73,0.72,0.86
0.65,0.69,0.97,0.62,0.57,0.81
0.70,0.69,0.97,0.62,0.57,0.81
0.75,0.69,0.97,0.62,0.57,0.81
std
0.40,0.02,0.07,0.07,0.06,0.07
0.45,0.02,0.04,0.04,0.09,0.03
0.50,0.01,0.02,0.02,0.05,0.02
0.55,0.02,0.01,0.02,0.03,0.01
0.60,0.02,0.01,0.03,0.04,0.01
0.65,0.02,0.0,0.03,0.05,0.02
0.70,0.02,0.0,0.03,0.05,0.02
0.75,0.02,0.0,0.03,0.05,0.02
test finished in 25446.74 seconds
