,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.55,0.01,0.01,0.0,0.02
0.45,0.91,0.53,0.52,0.31,0.67
0.50,0.92,0.85,0.84,0.77,0.88
0.55,0.89,0.95,0.88,0.89,0.92
0.60,0.82,0.97,0.79,0.8,0.89
0.65,0.75,0.98,0.71,0.7,0.85
0.70,0.75,0.98,0.7,0.7,0.85
0.75,0.75,0.98,0.7,0.7,0.85
max
0.40,1.0,0.14,0.14,0.04,0.25
0.45,0.95,0.66,0.65,0.52,0.78
0.50,0.96,0.91,0.9,0.9,0.92
0.55,0.92,0.97,0.92,0.94,0.94
0.60,0.87,0.98,0.85,0.91,0.92
0.65,0.81,0.99,0.78,0.82,0.89
0.70,0.81,0.99,0.77,0.82,0.89
0.75,0.81,0.99,0.77,0.82,0.89
min
0.40,0.23,-0.0,-0.0,0.0,-0.0
0.45,0.86,0.37,0.36,0.14,0.53
0.50,0.88,0.79,0.78,0.64,0.85
0.55,0.86,0.92,0.84,0.8,0.89
0.60,0.77,0.96,0.74,0.67,0.86
0.65,0.71,0.97,0.65,0.54,0.82
0.70,0.71,0.97,0.65,0.54,0.82
0.75,0.71,0.97,0.65,0.54,0.82
std
0.40,0.27,0.03,0.03,0.01,0.05
0.45,0.02,0.05,0.05,0.07,0.04
0.50,0.01,0.02,0.03,0.06,0.02
0.55,0.01,0.01,0.02,0.03,0.01
0.60,0.02,0.01,0.02,0.04,0.01
0.65,0.02,0.0,0.03,0.05,0.01
0.70,0.02,0.0,0.03,0.05,0.01
0.75,0.02,0.0,0.03,0.05,0.01
test finished in 26376.30 seconds
