,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.93,0.0,0.0,0.0,0.0
0.45,0.92,0.42,0.41,0.22,0.57
0.50,0.92,0.79,0.78,0.69,0.85
0.55,0.91,0.93,0.9,0.89,0.92
0.60,0.82,0.97,0.79,0.8,0.89
0.65,0.68,0.99,0.59,0.55,0.8
0.70,0.58,1.0,0.43,0.34,0.73
0.75,0.53,1.0,0.32,0.22,0.69
max
0.40,1.0,0.02,0.02,0.0,0.04
0.45,0.98,0.58,0.57,0.44,0.72
0.50,0.97,0.86,0.86,0.84,0.91
0.55,0.95,0.96,0.94,0.95,0.95
0.60,0.87,0.99,0.85,0.89,0.92
0.65,0.73,1.0,0.66,0.73,0.84
0.70,0.63,1.0,0.49,0.5,0.77
0.75,0.56,1.0,0.36,0.37,0.72
min
0.40,0.29,-0.0,-0.0,0.0,-0.0
0.45,0.84,0.21,0.2,0.08,0.33
0.50,0.87,0.68,0.66,0.43,0.78
0.55,0.87,0.9,0.86,0.8,0.89
0.60,0.76,0.95,0.72,0.65,0.85
0.65,0.64,0.98,0.53,0.37,0.77
0.70,0.55,0.99,0.37,0.18,0.71
0.75,0.5,1.0,0.27,0.11,0.67
std
0.40,0.2,0.0,0.0,0.0,0.0
0.45,0.02,0.07,0.07,0.07,0.07
0.50,0.02,0.03,0.03,0.07,0.02
0.55,0.01,0.01,0.02,0.03,0.01
0.60,0.02,0.01,0.02,0.04,0.01
0.65,0.02,0.0,0.03,0.07,0.01
0.70,0.02,0.0,0.02,0.06,0.01
0.75,0.01,0.0,0.02,0.05,0.01
test finished in 23333.65 seconds
