,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.9,0.0,0.0,0.0,0.0
0.45,0.88,0.28,0.28,0.13,0.42
0.50,0.91,0.72,0.71,0.58,0.8
0.55,0.9,0.91,0.89,0.87,0.91
0.60,0.81,0.96,0.78,0.79,0.88
0.65,0.66,0.99,0.57,0.52,0.79
0.70,0.57,1.0,0.4,0.29,0.72
0.75,0.52,1.0,0.3,0.18,0.68
max
0.40,1.0,0.0,0.0,0.0,0.0
0.45,0.94,0.48,0.47,0.28,0.63
0.50,0.93,0.81,0.8,0.79,0.86
0.55,0.93,0.94,0.92,0.92,0.93
0.60,0.86,0.98,0.83,0.88,0.91
0.65,0.7,0.99,0.62,0.64,0.82
0.70,0.6,1.0,0.45,0.41,0.75
0.75,0.54,1.0,0.34,0.28,0.7
min
0.40,0.2,0.0,0.0,0.0,0.0
0.45,0.78,0.14,0.14,0.04,0.25
0.50,0.87,0.62,0.61,0.41,0.73
0.55,0.87,0.87,0.85,0.78,0.88
0.60,0.76,0.95,0.72,0.67,0.85
0.65,0.62,0.98,0.51,0.37,0.76
0.70,0.54,0.99,0.35,0.19,0.7
0.75,0.5,1.0,0.26,0.1,0.66
std
0.40,0.24,0.0,0.0,0.0,0.0
0.45,0.03,0.07,0.06,0.04,0.08
0.50,0.01,0.03,0.03,0.07,0.02
0.55,0.01,0.01,0.01,0.03,0.01
0.60,0.02,0.01,0.02,0.04,0.01
0.65,0.02,0.0,0.02,0.06,0.01
0.70,0.01,0.0,0.02,0.05,0.01
0.75,0.01,0.0,0.02,0.05,0.01
test finished in 37949.44 seconds
