,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.98,0.02,0.02,0.0,0.04
0.45,0.92,0.51,0.51,0.31,0.66
0.50,0.93,0.83,0.82,0.75,0.88
0.55,0.91,0.94,0.91,0.9,0.93
0.60,0.82,0.97,0.79,0.8,0.89
0.65,0.68,0.99,0.6,0.55,0.81
0.70,0.59,1.0,0.44,0.35,0.74
0.75,0.53,1.0,0.33,0.22,0.69
max
0.40,1.0,0.15,0.14,0.04,0.25
0.45,0.96,0.63,0.62,0.48,0.75
0.50,0.95,0.89,0.88,0.87,0.91
0.55,0.95,0.95,0.94,0.94,0.95
0.60,0.89,0.98,0.87,0.9,0.93
0.65,0.73,0.99,0.67,0.68,0.84
0.70,0.62,1.0,0.51,0.5,0.77
0.75,0.57,1.0,0.38,0.33,0.72
min
0.40,0.44,-0.0,-0.0,0.0,-0.0
0.45,0.88,0.39,0.38,0.16,0.55
0.50,0.9,0.77,0.76,0.61,0.84
0.55,0.88,0.91,0.86,0.83,0.9
0.60,0.78,0.96,0.75,0.7,0.86
0.65,0.64,0.98,0.55,0.4,0.78
0.70,0.55,0.99,0.4,0.22,0.71
0.75,0.51,1.0,0.29,0.11,0.67
std
0.40,0.06,0.04,0.04,0.01,0.07
0.45,0.02,0.06,0.06,0.08,0.05
0.50,0.01,0.03,0.03,0.05,0.02
0.55,0.01,0.01,0.01,0.02,0.01
0.60,0.02,0.01,0.02,0.04,0.01
0.65,0.02,0.0,0.02,0.05,0.01
0.70,0.02,0.0,0.02,0.06,0.01
0.75,0.01,0.0,0.02,0.05,0.01
test finished in 23011.24 seconds
