,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.9,0.27,0.27,0.12,0.41
0.45,0.91,0.66,0.65,0.48,0.77
0.50,0.92,0.87,0.86,0.81,0.89
0.55,0.89,0.95,0.88,0.89,0.92
0.60,0.81,0.98,0.78,0.8,0.89
0.65,0.71,0.99,0.64,0.62,0.82
0.70,0.66,0.99,0.57,0.53,0.79
0.75,0.66,0.99,0.57,0.53,0.79
max
0.40,0.98,0.48,0.47,0.3,0.63
0.45,0.95,0.77,0.76,0.65,0.84
0.50,0.95,0.92,0.92,0.9,0.93
0.55,0.93,0.97,0.92,0.94,0.95
0.60,0.86,0.99,0.84,0.89,0.92
0.65,0.77,0.99,0.72,0.77,0.87
0.70,0.73,0.99,0.66,0.7,0.84
0.75,0.73,0.99,0.66,0.7,0.84
min
0.40,0.85,0.1,0.09,0.02,0.18
0.45,0.87,0.54,0.52,0.28,0.68
0.50,0.88,0.82,0.81,0.64,0.86
0.55,0.86,0.93,0.84,0.83,0.89
0.60,0.76,0.97,0.72,0.69,0.85
0.65,0.66,0.98,0.57,0.48,0.79
0.70,0.61,0.98,0.51,0.39,0.75
0.75,0.61,0.98,0.51,0.39,0.75
std
0.40,0.02,0.07,0.07,0.05,0.09
0.45,0.02,0.04,0.04,0.07,0.03
0.50,0.01,0.02,0.02,0.05,0.01
0.55,0.02,0.01,0.02,0.02,0.01
0.60,0.02,0.01,0.03,0.04,0.01
0.65,0.02,0.0,0.03,0.06,0.02
0.70,0.02,0.0,0.03,0.07,0.02
0.75,0.02,0.0,0.03,0.07,0.02
test finished in 25672.77 seconds
