,completeness,homogeneity,mutual_info,rand,v_measure
7:3-0.55,0.92,0.97,0.91,0.93,0.94
7:3-0.6,0.83,0.98,0.8,0.86,0.9
7:3-0.65,0.72,0.99,0.66,0.68,0.84
7:3-0.7,0.68,0.99,0.6,0.65,0.81
8:2-0.4,0.93,0.45,0.45,0.27,0.61
8:2-0.45,0.92,0.75,0.73,0.68,0.82
8:2-0.5,0.94,0.91,0.9,0.88,0.91
8:2-0.55,0.91,0.97,0.9,0.92,0.94
8:2-0.6,0.83,0.98,0.81,0.87,0.9
8:2-0.65,0.73,0.99,0.67,0.71,0.84
8:2-0.7,0.68,0.99,0.6,0.65,0.81
9:1-0.4,0.92,0.54,0.53,0.34,0.68
9:1-0.45,0.93,0.77,0.76,0.69,0.84
9:1-0.5,0.93,0.91,0.9,0.88,0.91
9:1-0.55,0.91,0.97,0.9,0.92,0.93
9:1-0.6,0.84,0.98,0.81,0.88,0.9
9:1-0.65,0.74,0.99,0.68,0.73,0.85
9:1-0.7,0.68,0.99,0.6,0.65,0.81
min
6:4-0.4,0.29,0.0,-0.0,0.0,0.0
6:4-0.45,0.88,0.43,0.41,0.19,0.58
6:4-0.5,0.89,0.79,0.77,0.63,0.84
6:4-0.55,0.86,0.92,0.85,0.79,0.89
6:4-0.6,0.76,0.97,0.71,0.64,0.85
6:4-0.65,0.64,0.98,0.54,0.41,0.78
6:4-0.7,0.62,0.98,0.5,0.36,0.76
7:3-0.4,0.39,0.0,0.0,0.0,0.0
7:3-0.45,0.88,0.54,0.52,0.27,0.67
7:3-0.5,0.88,0.8,0.79,0.64,0.84
7:3-0.55,0.86,0.93,0.84,0.81,0.9
7:3-0.6,0.76,0.97,0.71,0.68,0.85
7:3-0.65,0.65,0.98,0.55,0.43,0.78
7:3-0.7,0.62,0.98,0.5,0.36,0.76
8:2-0.4,0.84,0.14,0.14,0.04,0.24
8:2-0.45,0.88,0.59,0.58,0.31,0.71
8:2-0.5,0.89,0.83,0.82,0.66,0.87
8:2-0.55,0.85,0.93,0.83,0.81,0.89
8:2-0.6,0.77,0.96,0.72,0.69,0.86
8:2-0.65,0.66,0.98,0.57,0.46,0.79
8:2-0.7,0.62,0.98,0.5,0.36,0.76
9:1-0.4,0.84,0.26,0.25,0.08,0.4
9:1-0.45,0.88,0.63,0.61,0.36,0.74
9:1-0.5,0.87,0.85,0.84,0.7,0.86
9:1-0.55,0.85,0.92,0.83,0.8,0.89
9:1-0.6,0.77,0.97,0.73,0.69,0.86
9:1-0.65,0.68,0.98,0.6,0.49,0.8
9:1-0.7,0.62,0.98,0.5,0.36,0.76
std
6:4-0.4,0.31,0.03,0.03,0.01,0.05
6:4-0.45,0.01,0.06,0.06,0.09,0.05
6:4-0.5,0.01,0.03,0.03,0.06,0.02
6:4-0.55,0.01,0.01,0.01,0.03,0.01
6:4-0.6,0.02,0.0,0.02,0.05,0.01
6:4-0.65,0.02,0.0,0.02,0.07,0.01
6:4-0.7,0.02,0.0,0.03,0.08,0.01
7:3-0.4,0.11,0.09,0.09,0.05,0.14
7:3-0.45,0.01,0.05,0.05,0.09,0.04
7:3-0.5,0.01,0.03,0.03,0.07,0.02
7:3-0.55,0.01,0.01,0.01,0.03,0.01
7:3-0.6,0.02,0.0,0.02,0.05,0.01
7:3-0.65,0.02,0.0,0.02,0.07,0.01
7:3-0.7,0.02,0.0,0.03,0.08,0.01
8:2-0.4,0.02,0.06,0.07,0.06,0.07
8:2-0.45,0.01,0.05,0.05,0.1,0.03
8:2-0.5,0.01,0.02,0.02,0.05,0.01
8:2-0.55,0.01,0.01,0.02,0.03,0.01
8:2-0.6,0.02,0.01,0.02,0.05,0.01
8:2-0.65,0.02,0.0,0.02,0.07,0.01
8:2-0.7,0.02,0.0,0.03,0.08,0.01
9:1-0.4,0.02,0.06,0.07,0.06,0.07
9:1-0.45,0.01,0.04,0.04,0.08,0.02
9:1-0.5,0.01,0.02,0.02,0.04,0.01
9:1-0.55,0.01,0.01,0.02,0.03,0.01
9:1-0.6,0.02,0.0,0.02,0.05,0.01
9:1-0.65,0.02,0.0,0.02,0.06,0.01
9:1-0.7,0.02,0.0,0.03,0.08,0.01
test finished in 19741.84 seconds
