,completeness,homogeneity,mutual_info,rand,v_measure
mean
6:4-0.4,0.74,0.01,0.01,0.0,0.01
6:4-0.45,0.91,0.55,0.53,0.35,0.68
6:4-0.5,0.91,0.84,0.83,0.76,0.88
6:4-0.55,0.89,0.95,0.88,0.88,0.92
6:4-0.6,0.79,0.98,0.76,0.77,0.88
6:4-0.65,0.68,0.99,0.61,0.56,0.81
6:4-0.7,0.66,0.99,0.56,0.51,0.79
7:3-0.4,0.88,0.13,0.12,0.05,0.21
7:3-0.45,0.91,0.61,0.6,0.42,0.73
7:3-0.5,0.91,0.86,0.85,0.79,0.89
7:3-0.55,0.88,0.95,0.87,0.88,0.91
7:3-0.6,0.8,0.98,0.76,0.78,0.88
7:3-0.65,0.69,0.99,0.62,0.58,0.81
7:3-0.7,0.66,0.99,0.56,0.51,0.79
8:2-0.4,0.9,0.29,0.29,0.13,0.44
8:2-0.45,0.91,0.66,0.65,0.49,0.77
8:2-0.5,0.91,0.87,0.86,0.8,0.89
8:2-0.55,0.88,0.95,0.87,0.88,0.92
8:2-0.6,0.8,0.98,0.77,0.79,0.88
8:2-0.65,0.7,0.99,0.63,0.6,0.82
8:2-0.7,0.66,0.99,0.56,0.51,0.79
9:1-0.4,0.9,0.39,0.38,0.18,0.54
9:1-0.45,0.91,0.71,0.69,0.55,0.79
9:1-0.5,0.9,0.88,0.87,0.81,0.89
9:1-0.55,0.88,0.95,0.86,0.87,0.91
9:1-0.6,0.81,0.97,0.78,0.8,0.88
9:1-0.65,0.72,0.99,0.65,0.63,0.83
9:1-0.7,0.66,0.99,0.56,0.51,0.79
max
6:4-0.4,1.0,0.15,0.15,0.05,0.25
6:4-0.45,0.93,0.69,0.68,0.58,0.78
6:4-0.5,0.94,0.88,0.88,0.85,0.9
6:4-0.55,0.92,0.96,0.92,0.93,0.94
6:4-0.6,0.83,0.98,0.8,0.85,0.9
6:4-0.65,0.71,0.99,0.64,0.66,0.83
6:4-0.7,0.68,0.99,0.6,0.65,0.81
7:3-0.4,1.0,0.36,0.36,0.2,0.52
7:3-0.45,0.93,0.7,0.69,0.58,0.79
7:3-0.5,0.93,0.91,0.9,0.88,0.91
