,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.56,0.02,0.02,0.0,0.04
0.45,0.92,0.54,0.52,0.31,0.67
0.50,0.92,0.85,0.84,0.77,0.88
0.55,0.9,0.93,0.89,0.88,0.91
0.60,0.89,0.93,0.88,0.88,0.91
0.65,0.89,0.93,0.88,0.88,0.91
0.70,0.89,0.93,0.88,0.88,0.91
0.75,0.89,0.93,0.88,0.88,0.91
max
0.40,1.0,0.17,0.16,0.06,0.28
0.45,0.94,0.67,0.66,0.49,0.78
0.50,0.95,0.9,0.9,0.88,0.92
0.55,0.94,0.95,0.93,0.93,0.94
0.60,0.93,0.95,0.93,0.93,0.94
0.65,0.93,0.95,0.93,0.93,0.94
0.70,0.93,0.95,0.93,0.93,0.94
0.75,0.93,0.95,0.93,0.93,0.94
min
0.40,0.28,0.0,0.0,0.0,0.0
0.45,0.87,0.41,0.4,0.16,0.56
0.50,0.89,0.79,0.78,0.64,0.84
0.55,0.86,0.9,0.84,0.81,0.88
0.60,0.85,0.91,0.84,0.81,0.88
0.65,0.85,0.91,0.84,0.81,0.88
0.70,0.85,0.91,0.84,0.81,0.88
0.75,0.85,0.91,0.84,0.81,0.88
std
0.40,0.22,0.04,0.04,0.01,0.07
0.45,0.02,0.05,0.05,0.07,0.04
0.50,0.01,0.03,0.03,0.06,0.02
0.55,0.01,0.01,0.02,0.02,0.01
0.60,0.02,0.01,0.02,0.02,0.01
0.65,0.02,0.01,0.02,0.02,0.01
0.70,0.02,0.01,0.02,0.02,0.01
0.75,0.02,0.01,0.02,0.02,0.01
test finished in 38297.12 seconds
