,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.78,0.0,0.0,0.0,0.0
0.45,0.69,0.11,0.1,0.04,0.18
0.50,0.88,0.62,0.6,0.43,0.72
0.55,0.87,0.87,0.85,0.81,0.87
0.60,0.79,0.95,0.76,0.77,0.86
0.65,0.66,0.98,0.57,0.52,0.79
0.70,0.57,0.99,0.4,0.29,0.72
0.75,0.52,1.0,0.3,0.17,0.68
max
0.40,1.0,0.0,-0.0,0.0,0.01
0.45,1.0,0.28,0.28,0.14,0.42
0.50,0.92,0.73,0.72,0.67,0.8
0.55,0.92,0.91,0.9,0.87,0.91
0.60,0.84,0.96,0.81,0.86,0.89
0.65,0.72,0.99,0.64,0.73,0.83
0.70,0.61,1.0,0.47,0.43,0.76
0.75,0.55,1.0,0.35,0.28,0.71
min
0.40,0.19,0.0,-0.0,0.0,0.0
0.45,0.18,0.0,-0.0,0.0,0.0
0.50,0.82,0.49,0.47,0.24,0.62
0.55,0.84,0.83,0.82,0.7,0.85
0.60,0.76,0.93,0.71,0.67,0.84
0.65,0.62,0.97,0.52,0.39,0.76
0.70,0.54,0.99,0.36,0.19,0.7
0.75,0.49,1.0,0.25,0.11,0.66
std
0.40,0.32,0.0,0.0,0.0,0.0
0.45,0.25,0.09,0.08,0.04,0.14
0.50,0.02,0.04,0.04,0.08,0.03
0.55,0.01,0.02,0.02,0.03,0.01
0.60,0.02,0.01,0.02,0.04,0.01
0.65,0.02,0.0,0.02,0.07,0.01
0.70,0.01,0.0,0.02,0.05,0.01
0.75,0.01,0.0,0.02,0.04,0.01
test finished in 37492.08 seconds
