,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.40,0.0,0.0,1.0,0.0,0.0,333.83
0.45,0.0,0.0,1.0,0.0,0.01,257.37
0.50,0.06,0.01,0.99,0.16,0.27,259.41
0.55,0.15,0.03,0.98,0.44,0.6,175.64
0.60,0.22,0.08,0.97,0.61,0.75,129.39
0.65,0.36,0.33,0.97,0.78,0.87,94.65
0.70,0.49,0.51,0.97,0.88,0.92,65.69
0.75,0.71,0.61,0.96,0.96,0.96,39.97
0.80,0.64,0.63,0.95,0.99,0.97,27.67
0.85,0.57,0.57,0.94,1.0,0.97,23.2
0.90,0.53,0.51,0.94,1.0,0.97,22.06
max
0.40,0.0,0.0,1.0,0.0,0.0,333.83
0.45,0.0,0.0,1.0,0.0,0.01,257.37
0.50,0.06,0.01,0.99,0.16,0.27,259.41
0.55,0.15,0.03,0.98,0.44,0.6,175.64
0.60,0.22,0.08,0.97,0.61,0.75,129.39
0.65,0.36,0.33,0.97,0.78,0.87,94.65
0.70,0.49,0.51,0.97,0.88,0.92,65.69
0.75,0.71,0.61,0.96,0.96,0.96,39.97
0.80,0.64,0.63,0.95,0.99,0.97,27.67
0.85,0.57,0.57,0.94,1.0,0.97,23.2
0.90,0.53,0.51,0.94,1.0,0.97,22.06
min
0.40,0.0,0.0,1.0,0.0,0.0,333.83
0.45,0.0,0.0,1.0,0.0,0.01,257.37
0.50,0.06,0.01,0.99,0.16,0.27,259.41
0.55,0.15,0.03,0.98,0.44,0.6,175.64
0.60,0.22,0.08,0.97,0.61,0.75,129.39
0.65,0.36,0.33,0.97,0.78,0.87,94.65
0.70,0.49,0.51,0.97,0.88,0.92,65.69
0.75,0.71,0.61,0.96,0.96,0.96,39.97
0.80,0.64,0.63,0.95,0.99,0.97,27.67
0.85,0.57,0.57,0.94,1.0,0.97,23.2
0.90,0.53,0.51,0.94,1.0,0.97,22.06
std
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 1451.99 seconds
