,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.92,0.27,0.26,0.09,0.4
0.45,0.92,0.65,0.64,0.47,0.76
0.50,0.92,0.84,0.83,0.77,0.88
0.55,0.92,0.93,0.91,0.89,0.92
0.60,0.87,0.96,0.85,0.87,0.91
0.65,0.78,0.98,0.74,0.77,0.87
0.70,0.68,0.99,0.59,0.58,0.81
0.75,0.61,1.0,0.47,0.42,0.75
max
0.40,1.0,0.42,0.41,0.2,0.58
0.45,0.96,0.74,0.73,0.63,0.82
0.50,0.94,0.89,0.88,0.86,0.91
0.55,0.95,0.95,0.93,0.93,0.94
0.60,0.92,0.97,0.91,0.92,0.94
0.65,0.83,0.99,0.8,0.86,0.9
0.70,0.73,0.99,0.66,0.72,0.84
0.75,0.65,1.0,0.53,0.57,0.78
min
0.40,0.81,0.04,0.03,0.01,0.07
0.45,0.87,0.53,0.52,0.33,0.68
0.50,0.88,0.79,0.78,0.64,0.85
0.55,0.89,0.91,0.88,0.86,0.91
0.60,0.83,0.94,0.81,0.8,0.88
0.65,0.73,0.97,0.67,0.66,0.83
0.70,0.64,0.99,0.54,0.44,0.77
0.75,0.57,0.99,0.42,0.28,0.73
std
0.40,0.03,0.1,0.1,0.05,0.13
0.45,0.02,0.05,0.05,0.08,0.04
0.50,0.01,0.03,0.03,0.06,0.02
0.55,0.01,0.01,0.01,0.02,0.01
0.60,0.02,0.01,0.02,0.03,0.01
0.65,0.03,0.01,0.03,0.06,0.02
0.70,0.02,0.0,0.03,0.08,0.02
0.75,0.02,0.0,0.03,0.07,0.01
test finished in 45506.08 seconds
