,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.93,0.08,0.08,0.02,0.14
0.45,0.92,0.48,0.47,0.25,0.62
0.50,0.92,0.76,0.75,0.63,0.83
0.55,0.92,0.9,0.89,0.84,0.91
0.60,0.89,0.95,0.88,0.88,0.92
0.65,0.82,0.98,0.79,0.83,0.89
0.70,0.71,0.99,0.63,0.67,0.83
0.75,0.61,1.0,0.48,0.46,0.76
max
0.40,1.0,0.26,0.26,0.08,0.41
0.45,0.95,0.58,0.57,0.44,0.71
0.50,0.96,0.83,0.82,0.78,0.87
0.55,0.94,0.92,0.91,0.89,0.93
0.60,0.92,0.97,0.91,0.93,0.95
0.65,0.86,0.99,0.84,0.89,0.91
0.70,0.74,1.0,0.67,0.75,0.85
0.75,0.63,1.0,0.51,0.57,0.77
min
0.40,0.8,0.0,0.0,0.0,0.0
0.45,0.89,0.3,0.28,0.07,0.45
0.50,0.88,0.67,0.66,0.45,0.76
0.55,0.89,0.84,0.83,0.68,0.87
0.60,0.86,0.94,0.84,0.85,0.9
0.65,0.78,0.96,0.73,0.76,0.87
0.70,0.67,0.99,0.58,0.55,0.8
0.75,0.59,1.0,0.44,0.37,0.74
std
0.40,0.06,0.07,0.07,0.02,0.11
0.45,0.02,0.06,0.06,0.08,0.06
0.50,0.02,0.04,0.04,0.09,0.03
0.55,0.01,0.02,0.02,0.04,0.01
0.60,0.01,0.01,0.02,0.02,0.01
0.65,0.02,0.01,0.02,0.03,0.01
0.70,0.02,0.0,0.02,0.05,0.01
0.75,0.01,0.0,0.02,0.06,0.01
test finished in 49133.94 seconds
