,completeness,homogeneity,mutual_info,rand,v_measure
mean
6:4-0.4,0.52,0.01,0.0,0.0,0.01
6:4-0.45,0.92,0.54,0.53,0.33,0.68
6:4-0.5,0.92,0.85,0.84,0.78,0.89
6:4-0.55,0.91,0.93,0.9,0.89,0.92
6:4-0.6,0.9,0.93,0.89,0.88,0.92
6:4-0.65,0.9,0.93,0.89,0.88,0.92
6:4-0.7,0.9,0.93,0.89,0.88,0.92
7:3-0.4,0.84,0.15,0.14,0.05,0.24
7:3-0.45,0.92,0.62,0.61,0.41,0.74
7:3-0.5,0.92,0.87,0.86,0.81,0.89
7:3-0.55,0.9,0.93,0.89,0.89,0.92
7:3-0.6,0.9,0.93,0.89,0.88,0.92
7:3-0.65,0.9,0.93,0.89,0.88,0.92
7:3-0.7,0.9,0.93,0.89,0.88,0.92
8:2-0.4,0.9,0.32,0.31,0.14,0.46
8:2-0.45,0.92,0.67,0.66,0.48,0.77
8:2-0.5,0.92,0.88,0.88,0.83,0.9
8:2-0.55,0.9,0.93,0.89,0.88,0.92
8:2-0.6,0.9,0.93,0.89,0.88,0.92
8:2-0.65,0.9,0.93,0.89,0.88,0.92
8:2-0.7,0.9,0.93,0.89,0.88,0.92
9:1-0.4,0.91,0.41,0.4,0.2,0.57
9:1-0.45,0.92,0.72,0.71,0.56,0.81
9:1-0.5,0.92,0.89,0.88,0.84,0.9
9:1-0.55,0.9,0.93,0.89,0.88,0.92
9:1-0.6,0.9,0.93,0.89,0.88,0.92
9:1-0.65,0.9,0.93,0.89,0.88,0.92
9:1-0.7,0.9,0.93,0.89,0.88,0.92
max
6:4-0.4,0.88,0.05,0.05,0.01,0.1
6:4-0.45,0.94,0.64,0.62,0.48,0.76
6:4-0.5,0.95,0.88,0.87,0.85,0.91
6:4-0.55,0.94,0.95,0.94,0.94,0.94
6:4-0.6,0.94,0.95,0.93,0.94,0.94
6:4-0.65,0.94,0.95,0.93,0.94,0.94
6:4-0.7,0.94,0.95,0.93,0.94,0.94
7:3-0.4,0.96,0.27,0.26,0.09,0.42
7:3-0.45,0.95,0.71,0.7,0.58,0.8
7:3-0.5,0.95,0.9,0.9,0.89,0.93
7:3-0.55,0.94,0.95,0.93,0.94,0.94
7:3-0.6,0.94,0.95,0.93,0.94,0.94
7:3-0.65,0.94,0.95,0.93,0.94,0.94
7:3-0.7,0.94,0.95,0.93,0.94,0.94
8:2-0.4,0.93,0.45,0.44,0.27,0.6
8:2-0.45,0.95,0.76,0.75,0.65,0.83
8:2-0.5,0.95,0.91,0.9,0.89,0.93
8:2-0.55,0.94,0.95,0.93,0.94,0.94
8:2-0.6,0.94,0.95,0.93,0.94,0.94
8:2-0.65,0.94,0.95,0.93,0.94,0.94
8:2-0.7,0.94,0.95,0.93,0.94,0.94
9:1-0.4,0.93,0.53,0.51,0.34,0.66
9:1-0.45,0.95,0.79,0.78,0.73,0.85
9:1-0.5,0.95,0.92,0.91,0.9,0.93
9:1-0.55,0.94,0.95,0.93,0.94,0.94
9:1-0.6,0.94,0.95,0.93,0.94,0.94
9:1-0.65,0.94,0.95,0.93,0.94,0.94
9:1-0.7,0.94,0.95,0.93,0.94,0.94
min
6:4-0.4,0.31,0.0,0.0,0.0,0.0
6:4-0.45,0.87,0.42,0.4,0.19,0.56
6:4-0.5,0.89,0.81,0.8,0.69,0.85
6:4-0.55,0.87,0.9,0.85,0.83,0.89
6:4-0.6,0.85,0.91,0.83,0.81,0.88
6:4-0.65,0.85,0.91,0.83,0.81,0.88
6:4-0.7,0.85,0.91,0.83,0.81,0.88
7:3-0.4,0.35,0.0,0.0,0.0,0.0
7:3-0.45,0.89,0.49,0.48,0.26,0.64
7:3-0.5,0.89,0.84,0.82,0.72,0.86
7:3-0.55,0.86,0.91,0.85,0.83,0.88
7:3-0.6,0.85,0.91,0.83,0.81,0.88
7:3-0.65,0.85,0.91,0.83,0.81,0.88
7:3-0.7,0.85,0.91,0.83,0.81,0.88
8:2-0.4,0.86,0.17,0.16,0.05,0.29
8:2-0.45,0.89,0.61,0.6,0.37,0.73
8:2-0.5,0.88,0.85,0.83,0.73,0.86
8:2-0.55,0.86,0.91,0.85,0.83,0.88
8:2-0.6,0.85,0.91,0.83,0.81,0.88
8:2-0.65,0.85,0.91,0.83,0.81,0.88
8:2-0.7,0.85,0.91,0.83,0.81,0.88
9:1-0.4,0.87,0.31,0.29,0.11,0.45
9:1-0.45,0.88,0.65,0.63,0.4,0.76
9:1-0.5,0.88,0.84,0.83,0.72,0.86
9:1-0.55,0.85,0.91,0.83,0.81,0.88
9:1-0.6,0.85,0.91,0.83,0.81,0.88
9:1-0.65,0.85,0.91,0.83,0.81,0.88
9:1-0.7,0.85,0.91,0.83,0.81,0.88
std
6:4-0.4,0.18,0.01,0.01,0.0,0.02
6:4-0.45,0.02,0.05,0.05,0.08,0.04
6:4-0.5,0.01,0.02,0.02,0.04,0.01
6:4-0.55,0.02,0.01,0.02,0.02,0.01
6:4-0.6,0.02,0.01,0.02,0.02,0.01
6:4-0.65,0.02,0.01,0.02,0.02,0.01
6:4-0.7,0.02,0.01,0.02,0.02,0.01
7:3-0.4,0.15,0.07,0.07,0.03,0.11
7:3-0.45,0.01,0.04,0.04,0.07,0.03
7:3-0.5,0.01,0.02,0.02,0.05,0.01
7:3-0.55,0.02,0.01,0.02,0.02,0.01
7:3-0.6,0.02,0.01,0.02,0.02,0.01
7:3-0.65,0.02,0.01,0.02,0.02,0.01
7:3-0.7,0.02,0.01,0.02,0.02,0.01
8:2-0.4,0.02,0.08,0.08,0.06,0.09
8:2-0.45,0.01,0.04,0.04,0.07,0.03
8:2-0.5,0.01,0.02,0.02,0.04,0.01
8:2-0.55,0.02,0.01,0.02,0.02,0.01
8:2-0.6,0.02,0.01,0.02,0.02,0.01
8:2-0.65,0.02,0.01,0.02,0.02,0.01
8:2-0.7,0.02,0.01,0.02,0.02,0.01
9:1-0.4,0.02,0.06,0.06,0.06,0.06
9:1-0.45,0.01,0.03,0.03,0.07,0.02
9:1-0.5,0.01,0.02,0.02,0.04,0.01
9:1-0.55,0.02,0.01,0.02,0.02,0.01
9:1-0.6,0.02,0.01,0.02,0.02,0.01
9:1-0.65,0.02,0.01,0.02,0.02,0.01
9:1-0.7,0.02,0.01,0.02,0.02,0.01
test finished in 19976.81 seconds
