,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.9,0.28,0.28,0.12,0.43
0.45,0.92,0.66,0.65,0.46,0.77
0.50,0.92,0.88,0.87,0.82,0.9
0.55,0.9,0.93,0.89,0.88,0.91
0.60,0.9,0.93,0.89,0.87,0.91
0.65,0.9,0.93,0.89,0.87,0.91
0.70,0.9,0.93,0.89,0.87,0.91
0.75,0.9,0.93,0.89,0.87,0.91
max
0.40,0.94,0.45,0.44,0.26,0.61
0.45,0.95,0.75,0.74,0.68,0.84
0.50,0.95,0.92,0.92,0.92,0.94
0.55,0.94,0.96,0.93,0.95,0.95
0.60,0.94,0.96,0.92,0.94,0.94
0.65,0.94,0.96,0.92,0.94,0.94
0.70,0.94,0.96,0.92,0.94,0.94
0.75,0.94,0.96,0.92,0.94,0.94
min
0.40,0.83,0.11,0.1,0.02,0.2
0.45,0.88,0.53,0.52,0.25,0.67
0.50,0.88,0.83,0.82,0.69,0.85
0.55,0.85,0.9,0.84,0.81,0.88
0.60,0.85,0.9,0.84,0.81,0.88
0.65,0.85,0.9,0.84,0.81,0.88
0.70,0.85,0.9,0.84,0.81,0.88
0.75,0.85,0.9,0.84,0.81,0.88
std
0.40,0.02,0.07,0.07,0.06,0.09
0.45,0.02,0.04,0.04,0.08,0.03
0.50,0.02,0.02,0.02,0.04,0.01
0.55,0.02,0.01,0.02,0.03,0.01
0.60,0.02,0.01,0.02,0.03,0.01
0.65,0.02,0.01,0.02,0.03,0.01
0.70,0.02,0.01,0.02,0.03,0.01
0.75,0.02,0.01,0.02,0.03,0.01
test finished in 36868.42 seconds
