,completeness,homogeneity,mutual_info,rand,v_measure
mean
3:7-0.45,0.79,0.13,0.12,0.05,0.21
3:7-0.5,0.91,0.68,0.66,0.51,0.78
3:7-0.55,0.91,0.92,0.9,0.87,0.91
3:7-0.6,0.83,0.97,0.81,0.82,0.9
3:7-0.65,0.76,0.98,0.72,0.72,0.86
4:6-0.45,0.9,0.31,0.31,0.15,0.46
4:6-0.5,0.92,0.76,0.74,0.63,0.83
4:6-0.55,0.9,0.94,0.9,0.89,0.92
4:6-0.6,0.82,0.97,0.8,0.81,0.89
4:6-0.65,0.76,0.98,0.71,0.7,0.85
5:5-0.45,0.91,0.45,0.44,0.26,0.6
5:5-0.5,0.92,0.8,0.79,0.7,0.86
5:5-0.55,0.9,0.95,0.89,0.9,0.92
5:5-0.6,0.82,0.97,0.79,0.81,0.89
5:5-0.65,0.76,0.98,0.71,0.7,0.85
6:4-0.45,0.91,0.53,0.52,0.32,0.67
6:4-0.5,0.92,0.85,0.84,0.77,0.88
6:4-0.55,0.9,0.95,0.89,0.9,0.93
6:4-0.6,0.82,0.97,0.79,0.81,0.89
6:4-0.65,0.75,0.98,0.71,0.7,0.85
7:3-0.45,0.92,0.6,0.59,0.4,0.73
7:3-0.5,0.92,0.87,0.86,0.81,0.9
7:3-0.55,0.9,0.95,0.88,0.9,0.92
7:3-0.6,0.81,0.97,0.79,0.81,0.89
7:3-0.65,0.75,0.98,0.71,0.7,0.85
8:2-0.45,0.92,0.66,0.65,0.47,0.77
8:2-0.5,0.92,0.89,0.88,0.83,0.9
8:2-0.55,0.89,0.96,0.88,0.9,0.92
8:2-0.6,0.82,0.97,0.79,0.81,0.89
8:2-0.65,0.75,0.98,0.71,0.7,0.85
9:1-0.45,0.91,0.71,0.7,0.54,0.8
9:1-0.5,0.92,0.89,0.88,0.83,0.9
9:1-0.55,0.89,0.95,0.88,0.89,0.92
9:1-0.6,0.82,0.97,0.8,0.82,0.89
9:1-0.65,0.75,0.98,0.7,0.7,0.85
max
3:7-0.45,0.96,0.29,0.29,0.15,0.44
