,completeness,homogeneity,mutual_info,rand,v_measure
mean
6:4-0.6,0.9,0.95,0.89,0.91,0.93
7:3-0.6,0.9,0.95,0.89,0.91,0.92
8:2-0.6,0.9,0.95,0.88,0.91,0.92
9:1-0.6,0.89,0.95,0.88,0.91,0.92
max
6:4-0.6,0.9,0.95,0.89,0.91,0.93
7:3-0.6,0.9,0.95,0.89,0.91,0.92
8:2-0.6,0.9,0.95,0.88,0.91,0.92
9:1-0.6,0.89,0.95,0.88,0.91,0.92
min
6:4-0.6,0.9,0.95,0.89,0.91,0.93
7:3-0.6,0.9,0.95,0.89,0.91,0.92
8:2-0.6,0.9,0.95,0.88,0.91,0.92
9:1-0.6,0.89,0.95,0.88,0.91,0.92
std
6:4-0.6,0.0,0.0,0.0,0.0,0.0
7:3-0.6,0.0,0.0,0.0,0.0,0.0
8:2-0.6,0.0,0.0,0.0,0.0,0.0
9:1-0.6,0.0,0.0,0.0,0.0,0.0
test finished in 16846.90 seconds
