,count
mean
1,299.0
2,46.0
3,12.0
4,3.0
5,4.0
6,3.0
10,1.0
13,1.0
22,2.0
73,1.0
372,1.0
max
1,299.0
2,46.0
3,12.0
4,3.0
5,4.0
6,3.0
10,1.0
13,1.0
22,2.0
73,1.0
372,1.0
min
1,299.0
2,46.0
3,12.0
4,3.0
5,4.0
6,3.0
10,1.0
13,1.0
22,2.0
73,1.0
372,1.0
std
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
10,0.0
13,0.0
22,0.0
73,0.0
372,0.0
test finished in 4.15 seconds
