,completeness,homogeneity,mutual_info,rand,v_measure
mean
6:4-0.5,0.96,0.92,0.91,0.93,0.94
7:3-0.5,0.96,0.92,0.91,0.93,0.94
8:2-0.5,0.96,0.92,0.91,0.93,0.94
9:1-0.5,0.96,0.92,0.91,0.93,0.94
max
6:4-0.5,0.96,0.92,0.91,0.93,0.94
7:3-0.5,0.96,0.92,0.91,0.93,0.94
8:2-0.5,0.96,0.92,0.91,0.93,0.94
9:1-0.5,0.96,0.92,0.91,0.93,0.94
min
6:4-0.5,0.96,0.92,0.91,0.93,0.94
7:3-0.5,0.96,0.92,0.91,0.93,0.94
8:2-0.5,0.96,0.92,0.91,0.93,0.94
9:1-0.5,0.96,0.92,0.91,0.93,0.94
std
6:4-0.5,0.0,0.0,0.0,0.0,0.0
7:3-0.5,0.0,0.0,0.0,0.0,0.0
8:2-0.5,0.0,0.0,0.0,0.0,0.0
9:1-0.5,0.0,0.0,0.0,0.0,0.0
test finished in 7841.33 seconds
