,completeness,homogeneity,mutual_info,rand,v_measure
mean
6:4-0.4,0.61,0.02,0.02,0.0,0.04
6:4-0.45,0.92,0.53,0.52,0.3,0.67
6:4-0.5,0.91,0.83,0.82,0.75,0.87
6:4-0.55,0.91,0.86,0.85,0.8,0.88
6:4-0.6,0.91,0.86,0.85,0.8,0.88
6:4-0.65,0.91,0.86,0.85,0.8,0.88
6:4-0.7,0.91,0.86,0.85,0.8,0.88
7:3-0.4,0.89,0.16,0.15,0.05,0.26
7:3-0.45,0.92,0.6,0.59,0.38,0.72
7:3-0.5,0.91,0.84,0.83,0.77,0.88
7:3-0.55,0.91,0.86,0.85,0.8,0.88
7:3-0.6,0.91,0.86,0.85,0.8,0.88
7:3-0.65,0.91,0.86,0.85,0.8,0.88
7:3-0.7,0.91,0.86,0.85,0.8,0.88
8:2-0.4,0.9,0.3,0.29,0.12,0.45
8:2-0.45,0.92,0.65,0.64,0.45,0.76
8:2-0.5,0.91,0.85,0.84,0.79,0.88
8:2-0.55,0.91,0.86,0.85,0.8,0.88
8:2-0.6,0.91,0.86,0.85,0.8,0.88
8:2-0.65,0.91,0.86,0.85,0.8,0.88
8:2-0.7,0.91,0.86,0.85,0.8,0.88
9:1-0.4,0.91,0.4,0.39,0.17,0.55
9:1-0.45,0.92,0.7,0.68,0.5,0.79
9:1-0.5,0.91,0.85,0.84,0.79,0.88
9:1-0.55,0.91,0.86,0.85,0.8,0.88
9:1-0.6,0.91,0.86,0.85,0.8,0.88
9:1-0.65,0.91,0.86,0.85,0.8,0.88
9:1-0.7,0.91,0.86,0.85,0.8,0.88
max
6:4-0.4,0.94,0.15,0.14,0.03,0.26
6:4-0.45,0.95,0.61,0.6,0.42,0.74
6:4-0.5,0.94,0.87,0.86,0.83,0.89
6:4-0.55,0.93,0.88,0.88,0.87,0.9
6:4-0.6,0.93,0.88,0.88,0.87,0.9
6:4-0.65,0.93,0.88,0.88,0.87,0.9
6:4-0.7,0.93,0.88,0.88,0.87,0.9
7:3-0.4,0.96,0.32,0.32,0.18,0.48
7:3-0.45,0.94,0.66,0.65,0.51,0.77
7:3-0.5,0.93,0.88,0.87,0.84,0.9
7:3-0.55,0.93,0.88,0.88,0.87,0.9
7:3-0.6,0.93,0.88,0.88,0.87,0.9
7:3-0.65,0.93,0.88,0.88,0.87,0.9
7:3-0.7,0.93,0.88,0.88,0.87,0.9
8:2-0.4,0.95,0.46,0.45,0.25,0.62
8:2-0.45,0.94,0.73,0.72,0.59,0.82
8:2-0.5,0.93,0.88,0.87,0.86,0.9
8:2-0.55,0.93,0.88,0.88,0.87,0.9
8:2-0.6,0.93,0.88,0.88,0.87,0.9
8:2-0.65,0.93,0.88,0.88,0.87,0.9
8:2-0.7,0.93,0.88,0.88,0.87,0.9
9:1-0.4,0.94,0.49,0.47,0.25,0.63
9:1-0.45,0.94,0.75,0.74,0.64,0.84
9:1-0.5,0.93,0.88,0.88,0.87,0.9
9:1-0.55,0.93,0.88,0.88,0.87,0.9
9:1-0.6,0.93,0.88,0.88,0.87,0.9
9:1-0.65,0.93,0.88,0.88,0.87,0.9
9:1-0.7,0.93,0.88,0.88,0.87,0.9
min
6:4-0.4,0.31,0.0,0.0,0.0,0.0
6:4-0.45,0.88,0.41,0.4,0.18,0.57
6:4-0.5,0.89,0.79,0.78,0.66,0.85
6:4-0.55,0.89,0.83,0.82,0.72,0.86
6:4-0.6,0.89,0.83,0.82,0.72,0.86
6:4-0.65,0.89,0.83,0.82,0.72,0.86
6:4-0.7,0.89,0.83,0.82,0.72,0.86
7:3-0.4,0.82,0.01,0.01,0.0,0.02
7:3-0.45,0.89,0.51,0.5,0.25,0.65
7:3-0.5,0.89,0.8,0.79,0.66,0.85
7:3-0.55,0.89,0.83,0.82,0.72,0.86
7:3-0.6,0.89,0.83,0.82,0.72,0.86
7:3-0.65,0.89,0.83,0.82,0.72,0.86
