,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.03,0.0,0.85,0.13,0.22
0.70,0.14,0.05,0.9,0.57,0.7
0.75,0.22,0.17,0.91,0.77,0.83
0.80,0.31,0.24,0.9,0.92,0.91
0.85,0.1,0.12,0.89,0.98,0.93
0.90,-0.02,0.03,0.88,0.99,0.93
max
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.03,0.0,0.85,0.13,0.22
0.70,0.14,0.05,0.9,0.57,0.7
0.75,0.22,0.17,0.91,0.77,0.83
0.80,0.31,0.24,0.9,0.92,0.91
0.85,0.1,0.12,0.89,0.98,0.93
0.90,-0.02,0.03,0.88,0.99,0.93
min
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.03,0.0,0.85,0.13,0.22
0.70,0.14,0.05,0.9,0.57,0.7
0.75,0.22,0.17,0.91,0.77,0.83
0.80,0.31,0.24,0.9,0.92,0.91
0.85,0.1,0.12,0.89,0.98,0.93
0.90,-0.02,0.03,0.88,0.99,0.93
std
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 13986.58 seconds
