,completeness,homogeneity,mutual_info,rand,v_measure
mean
3:7-0.45,0.62,0.11,0.11,0.05,0.18
3:7-0.5,0.87,0.63,0.62,0.44,0.73
3:7-0.55,0.87,0.88,0.86,0.81,0.88
3:7-0.6,0.8,0.96,0.76,0.77,0.87
3:7-0.65,0.66,0.99,0.57,0.5,0.79
4:6-0.45,0.87,0.28,0.28,0.13,0.43
4:6-0.5,0.9,0.73,0.72,0.6,0.81
4:6-0.55,0.89,0.92,0.88,0.86,0.9
4:6-0.6,0.8,0.97,0.76,0.78,0.88
4:6-0.65,0.66,0.99,0.57,0.51,0.79
5:5-0.45,0.9,0.43,0.42,0.24,0.58
5:5-0.5,0.91,0.79,0.78,0.69,0.85
5:5-0.55,0.9,0.94,0.89,0.88,0.92
5:5-0.6,0.8,0.98,0.77,0.78,0.88
5:5-0.65,0.66,0.99,0.57,0.52,0.79
6:4-0.45,0.91,0.53,0.52,0.32,0.67
6:4-0.5,0.92,0.84,0.83,0.77,0.88
6:4-0.55,0.9,0.94,0.89,0.89,0.92
6:4-0.6,0.81,0.98,0.77,0.79,0.88
6:4-0.65,0.67,0.99,0.58,0.54,0.8
7:3-0.45,0.91,0.6,0.58,0.4,0.72
7:3-0.5,0.92,0.86,0.85,0.79,0.89
7:3-0.55,0.9,0.95,0.89,0.89,0.92
7:3-0.6,0.81,0.98,0.78,0.8,0.89
7:3-0.65,0.69,0.99,0.61,0.57,0.81
8:2-0.45,0.91,0.66,0.64,0.48,0.76
8:2-0.5,0.92,0.87,0.86,0.81,0.89
8:2-0.55,0.9,0.95,0.89,0.89,0.92
8:2-0.6,0.82,0.98,0.79,0.81,0.89
8:2-0.65,0.7,0.99,0.62,0.6,0.82
9:1-0.45,0.91,0.69,0.68,0.52,0.78
9:1-0.5,0.91,0.87,0.87,0.81,0.9
9:1-0.55,0.89,0.95,0.88,0.89,0.92
9:1-0.6,0.83,0.97,0.8,0.83,0.89
9:1-0.65,0.72,0.99,0.65,0.63,0.83
max
3:7-0.45,0.9,0.26,0.25,0.12,0.39
3:7-0.5,0.91,0.69,0.68,0.55,0.78
3:7-0.55,0.9,0.92,0.89,0.89,0.91
3:7-0.6,0.83,0.97,0.8,0.86,0.89
3:7-0.65,0.69,0.99,0.61,0.62,0.82
4:6-0.45,0.93,0.38,0.37,0.23,0.53
4:6-0.5,0.94,0.81,0.81,0.75,0.86
4:6-0.55,0.93,0.94,0.92,0.92,0.93
4:6-0.6,0.84,0.98,0.81,0.84,0.9
4:6-0.65,0.7,0.99,0.61,0.63,0.82
5:5-0.45,0.94,0.52,0.51,0.33,0.67
5:5-0.5,0.93,0.85,0.85,0.8,0.89
5:5-0.55,0.93,0.96,0.93,0.93,0.95
5:5-0.6,0.85,0.98,0.83,0.86,0.91
5:5-0.65,0.7,1.0,0.62,0.64,0.82
6:4-0.45,0.95,0.64,0.63,0.46,0.76
6:4-0.5,0.96,0.91,0.9,0.89,0.93
6:4-0.55,0.94,0.97,0.93,0.95,0.95
6:4-0.6,0.86,0.98,0.83,0.88,0.92
