Building prefix dict from the default dictionary ...
Loading model from cache C:\Users\宗廷\AppData\Local\Temp\jieba.cache
Loading model cost 1.091 seconds.
Prefix dict has been built succesfully.
spend 5s to load word2vec model from model/bin/ngram_300_3_83w.bin
algorithm  2
0.53 {'v_measure': '0.90', 'homogeneity': '0.89', 'completeness': '0.91', 'rand': '0.69', 'mutual_info': '0.76'}
0.54 {'v_measure': '0.93', 'homogeneity': '0.92', 'completeness': '0.93', 'rand': '0.79', 'mutual_info': '0.82'}
0.55 {'v_measure': '0.92', 'homogeneity': '0.93', 'completeness': '0.92', 'rand': '0.79', 'mutual_info': '0.80'}
0.56 {'v_measure': '0.93', 'homogeneity': '0.95', 'completeness': '0.92', 'rand': '0.81', 'mutual_info': '0.80'}
0.57 {'v_measure': '0.93', 'homogeneity': '0.97', 'completeness': '0.91', 'rand': '0.78', 'mutual_info': '0.77'}
0.58 {'v_measure': '0.94', 'homogeneity': '0.99', 'completeness': '0.90', 'rand': '0.84', 'mutual_info': '0.75'}
0.59 {'v_measure': '0.94', 'homogeneity': '0.99', 'completeness': '0.90', 'rand': '0.84', 'mutual_info': '0.75'}
0.60 {'v_measure': '0.93', 'homogeneity': '0.98', 'completeness': '0.88', 'rand': '0.80', 'mutual_info': '0.71'}
0.61 {'v_measure': '0.93', 'homogeneity': '0.98', 'completeness': '0.88', 'rand': '0.80', 'mutual_info': '0.71'}
{'v_measure': ('0.94', '0.59'), 'completeness': ('0.93', '0.54'), 'homogeneity': ('0.99', '0.59'), 'rand': ('0.84', '0.59'), 'mutual_info': ('0.82', '0.54')}
0.52 {'v_measure': '0.93', 'homogeneity': '0.89', 'completeness': '0.96', 'rand': '0.76', 'mutual_info': '0.79'}
0.53 {'v_measure': '0.94', 'homogeneity': '0.91', 'completeness': '0.97', 'rand': '0.82', 'mutual_info': '0.83'}
0.54 {'v_measure': '0.94', 'homogeneity': '0.91', 'completeness': '0.97', 'rand': '0.82', 'mutual_info': '0.83'}
0.55 {'v_measure': '0.93', 'homogeneity': '0.90', 'completeness': '0.95', 'rand': '0.79', 'mutual_info': '0.81'}
0.56 {'v_measure': '0.94', 'homogeneity': '0.93', 'completeness': '0.94', 'rand': '0.82', 'mutual_info': '0.86'}
0.57 {'v_measure': '0.94', 'homogeneity': '0.94', 'completeness': '0.94', 'rand': '0.84', 'mutual_info': '0.88'}
0.58 {'v_measure': '0.95', 'homogeneity': '0.96', 'completeness': '0.94', 'rand': '0.88', 'mutual_info': '0.88'}
0.59 {'v_measure': '0.95', 'homogeneity': '0.97', 'completeness': '0.94', 'rand': '0.88', 'mutual_info': '0.87'}
0.60 {'v_measure': '0.95', 'homogeneity': '0.97', 'completeness': '0.92', 'rand': '0.86', 'mutual_info': '0.82'}
0.61 {'v_measure': '0.96', 'homogeneity': '0.98', 'completeness': '0.93', 'rand': '0.90', 'mutual_info': '0.85'}
{'v_measure': ('0.96', '0.61'), 'completeness': ('0.97', '0.54'), 'homogeneity': ('0.98', '0.61'), 'rand': ('0.90', '0.61'), 'mutual_info': ('0.88', '0.58')}
0.52 {'v_measure': '0.90', 'homogeneity': '0.88', 'completeness': '0.92', 'rand': '0.68', 'mutual_info': '0.74'}
0.53 {'v_measure': '0.91', 'homogeneity': '0.89', 'completeness': '0.93', 'rand': '0.72', 'mutual_info': '0.77'}
0.54 {'v_measure': '0.91', 'homogeneity': '0.92', 'completeness': '0.91', 'rand': '0.71', 'mutual_info': '0.78'}
0.55 {'v_measure': '0.93', 'homogeneity': '0.96', 'completeness': '0.91', 'rand': '0.82', 'mutual_info': '0.79'}
0.56 {'v_measure': '0.94', 'homogeneity': '0.97', 'completeness': '0.91', 'rand': '0.83', 'mutual_info': '0.79'}
0.57 {'v_measure': '0.95', 'homogeneity': '0.98', 'completeness': '0.92', 'rand': '0.85', 'mutual_info': '0.81'}
