,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.0,0.0,1.0,0.0,0.0,51.15
0.10,0.0,0.0,0.82,0.0,0.0,53.3
0.15,0.0,0.0,0.82,0.0,0.0,55.42
0.20,0.04,0.01,0.82,0.15,0.25,38.91
0.25,0.07,0.01,0.84,0.28,0.41,37.3
0.30,0.09,0.02,0.86,0.37,0.52,40.3
0.35,0.11,0.04,0.88,0.46,0.6,40.0
0.40,0.13,0.07,0.89,0.55,0.68,38.17
0.45,0.15,0.11,0.9,0.63,0.74,33.96
max
0.05,0.0,0.0,1.0,0.0,0.0,51.15
0.10,-0.0,0.0,0.82,0.0,0.0,53.3
0.15,-0.0,0.0,0.82,0.0,0.0,55.42
0.20,0.04,0.01,0.82,0.15,0.25,38.91
0.25,0.07,0.01,0.84,0.28,0.41,37.3
0.30,0.09,0.02,0.86,0.37,0.52,40.3
0.35,0.11,0.04,0.88,0.46,0.6,40.0
0.40,0.13,0.07,0.89,0.55,0.68,38.17
0.45,0.15,0.11,0.9,0.63,0.74,33.96
min
0.05,0.0,0.0,1.0,0.0,0.0,51.15
0.10,-0.0,0.0,0.82,0.0,0.0,53.3
0.15,-0.0,0.0,0.82,0.0,0.0,55.42
0.20,0.04,0.01,0.82,0.15,0.25,38.91
0.25,0.07,0.01,0.84,0.28,0.41,37.3
0.30,0.09,0.02,0.86,0.37,0.52,40.3
0.35,0.11,0.04,0.88,0.46,0.6,40.0
0.40,0.13,0.07,0.89,0.55,0.68,38.17
0.45,0.15,0.11,0.9,0.63,0.74,33.96
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 400.12 seconds
