,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.04,0.0,0.9,0.19,0.32,133.19
0.65,0.11,0.03,0.91,0.44,0.6,112.77
0.70,0.17,0.08,0.92,0.62,0.74,101.28
0.75,0.26,0.22,0.92,0.79,0.85,84.67
0.80,0.39,0.28,0.91,0.91,0.91,67.38
0.85,0.2,0.21,0.9,0.98,0.94,35.15
0.90,0.03,0.07,0.88,0.99,0.93,37.71
max
0.60,0.04,0.0,0.9,0.19,0.32,133.19
0.65,0.11,0.03,0.91,0.44,0.6,112.77
0.70,0.17,0.08,0.92,0.62,0.74,101.28
0.75,0.26,0.22,0.92,0.79,0.85,84.67
0.80,0.39,0.28,0.91,0.91,0.91,67.38
0.85,0.2,0.21,0.9,0.98,0.94,35.15
0.90,0.03,0.07,0.88,0.99,0.93,37.71
min
0.60,0.04,0.0,0.9,0.19,0.32,133.19
0.65,0.11,0.03,0.91,0.44,0.6,112.77
0.70,0.17,0.08,0.92,0.62,0.74,101.28
0.75,0.26,0.22,0.92,0.79,0.85,84.67
0.80,0.39,0.28,0.91,0.91,0.91,67.38
0.85,0.2,0.21,0.9,0.98,0.94,35.15
0.90,0.03,0.07,0.88,0.99,0.93,37.71
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 7657.19 seconds
