,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.2,0.18,0.9,0.76,0.82,138.38
0.65,0.23,0.2,0.9,0.82,0.86,154.35
0.70,0.31,0.23,0.9,0.89,0.9,117.54
0.75,0.27,0.21,0.9,0.94,0.92,81.53
0.80,0.16,0.16,0.89,0.98,0.93,60.44
0.85,0.06,0.09,0.88,0.99,0.93,49.55
0.90,0.0,0.05,0.88,1.0,0.93,44.09
max
0.60,0.2,0.18,0.9,0.76,0.82,138.38
0.65,0.23,0.2,0.9,0.82,0.86,154.35
0.70,0.31,0.23,0.9,0.89,0.9,117.54
0.75,0.27,0.21,0.9,0.94,0.92,81.53
0.80,0.16,0.16,0.89,0.98,0.93,60.44
0.85,0.06,0.09,0.88,0.99,0.93,49.55
0.90,-0.0,0.05,0.88,1.0,0.93,44.09
min
0.60,0.2,0.18,0.9,0.76,0.82,138.38
0.65,0.23,0.2,0.9,0.82,0.86,154.35
0.70,0.31,0.23,0.9,0.89,0.9,117.54
0.75,0.27,0.21,0.9,0.94,0.92,81.53
0.80,0.16,0.16,0.89,0.98,0.93,60.44
0.85,0.06,0.09,0.88,0.99,0.93,49.55
0.90,-0.0,0.05,0.88,1.0,0.93,44.09
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 3785.06 seconds
