,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.0,0.0,0.68,0.0,0.0,195.38
0.65,0.0,0.0,0.79,0.01,0.01,196.6
0.70,0.0,0.0,0.83,0.03,0.05,189.77
0.75,0.0,0.0,0.87,0.06,0.11,162.42
0.80,0.02,0.0,0.89,0.27,0.41,154.95
0.85,0.11,0.02,0.88,0.78,0.83,63.41
0.90,-0.01,0.03,0.88,0.98,0.93,27.3
max
0.60,-0.0,-0.0,0.68,0.0,0.0,195.38
0.65,-0.0,-0.0,0.79,0.01,0.01,196.6
0.70,0.0,0.0,0.83,0.03,0.05,189.77
0.75,0.0,0.0,0.87,0.06,0.11,162.42
0.80,0.02,0.0,0.89,0.27,0.41,154.95
0.85,0.11,0.02,0.88,0.78,0.83,63.41
0.90,-0.01,0.03,0.88,0.98,0.93,27.3
min
0.60,-0.0,-0.0,0.68,0.0,0.0,195.38
0.65,-0.0,-0.0,0.79,0.01,0.01,196.6
0.70,0.0,0.0,0.83,0.03,0.05,189.77
0.75,0.0,0.0,0.87,0.06,0.11,162.42
0.80,0.02,0.0,0.89,0.27,0.41,154.95
0.85,0.11,0.02,0.88,0.78,0.83,63.41
0.90,-0.01,0.03,0.88,0.98,0.93,27.3
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 6314.76 seconds
