,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.18,0.15,0.9,0.74,0.81,46.78
0.65,0.22,0.19,0.9,0.81,0.85,41.92
0.70,0.27,0.19,0.9,0.88,0.89,34.86
0.75,0.25,0.19,0.9,0.94,0.92,28.75
0.80,0.11,0.12,0.89,0.98,0.93,20.29
0.85,0.02,0.06,0.88,0.99,0.93,16.76
0.90,-0.03,0.02,0.87,1.0,0.93,15.68
max
0.60,0.18,0.15,0.9,0.74,0.81,46.78
0.65,0.22,0.19,0.9,0.81,0.85,41.92
0.70,0.27,0.19,0.9,0.88,0.89,34.86
0.75,0.25,0.19,0.9,0.94,0.92,28.75
0.80,0.11,0.12,0.89,0.98,0.93,20.29
0.85,0.02,0.06,0.88,0.99,0.93,16.76
0.90,-0.03,0.02,0.87,1.0,0.93,15.68
min
0.60,0.18,0.15,0.9,0.74,0.81,46.78
0.65,0.22,0.19,0.9,0.81,0.85,41.92
0.70,0.27,0.19,0.9,0.88,0.89,34.86
0.75,0.25,0.19,0.9,0.94,0.92,28.75
0.80,0.11,0.12,0.89,0.98,0.93,20.29
0.85,0.02,0.06,0.88,0.99,0.93,16.76
0.90,-0.03,0.02,0.87,1.0,0.93,15.68
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 6963.92 seconds
