,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.05,0.01,0.9,0.17,0.29,396.42
0.65,0.08,0.01,0.9,0.34,0.49,326.4
0.70,0.15,0.05,0.91,0.56,0.69,266.79
0.75,0.24,0.21,0.92,0.76,0.83,215.61
0.80,0.36,0.28,0.91,0.89,0.9,147.11
0.85,0.25,0.25,0.9,0.97,0.93,91.02
0.90,0.05,0.09,0.88,0.99,0.93,62.76
max
0.60,0.05,0.01,0.9,0.17,0.29,396.42
0.65,0.08,0.01,0.9,0.34,0.49,326.4
0.70,0.15,0.05,0.91,0.56,0.69,266.79
0.75,0.24,0.21,0.92,0.76,0.83,215.61
0.80,0.36,0.28,0.91,0.89,0.9,147.11
0.85,0.25,0.25,0.9,0.97,0.93,91.02
0.90,0.05,0.09,0.88,0.99,0.93,62.76
min
0.60,0.05,0.01,0.9,0.17,0.29,396.42
0.65,0.08,0.01,0.9,0.34,0.49,326.4
0.70,0.15,0.05,0.91,0.56,0.69,266.79
0.75,0.24,0.21,0.92,0.76,0.83,215.61
0.80,0.36,0.28,0.91,0.89,0.9,147.11
0.85,0.25,0.25,0.9,0.97,0.93,91.02
0.90,0.05,0.09,0.88,0.99,0.93,62.76
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 9533.43 seconds
