,silhouette_index0,silhouette_index1,silhouette_index2,silhouette_index3,silhouette_index4
mean
clustering1,0.23,nan,nan,0.0,-0.44
clustering2,0.25,nan,nan,0.0,-0.43
clustering3,0.22,nan,nan,0.0,-0.45
clustering4,0.23,nan,nan,0.0,-0.44
max
clustering1,0.27,nan,nan,0.0,-0.37
clustering2,0.29,nan,nan,0.0,-0.36
clustering3,0.25,nan,nan,0.0,-0.36
clustering4,0.27,nan,nan,0.0,-0.36
min
clustering1,0.16,nan,nan,0.0,-0.52
clustering2,0.18,nan,nan,0.0,-0.5
clustering3,0.16,nan,nan,0.0,-0.52
clustering4,0.16,nan,nan,0.0,-0.5
std
clustering1,0.02,nan,nan,0.0,0.03
clustering2,0.02,nan,nan,0.0,0.03
clustering3,0.02,nan,nan,0.0,0.03
clustering4,0.02,nan,nan,0.0,0.03
test finished in 12863.48 seconds
