,completeness,homogeneity,mutual_info,rand,v_measure
mean
5:5-0.6,0.88,0.9,0.87,0.81,0.89
6:4-0.6,0.89,0.93,0.87,0.85,0.91
7:3-0.6,0.89,0.95,0.87,0.87,0.92
8:2-0.55,0.92,0.91,0.9,0.85,0.91
8:2-0.6,0.88,0.96,0.87,0.88,0.92
9:1-0.55,0.91,0.93,0.9,0.89,0.92
max
5:5-0.6,0.91,0.93,0.9,0.86,0.92
6:4-0.6,0.92,0.95,0.91,0.91,0.93
7:3-0.6,0.92,0.96,0.91,0.92,0.94
8:2-0.55,0.94,0.93,0.92,0.89,0.93
8:2-0.6,0.92,0.97,0.91,0.94,0.94
9:1-0.55,0.94,0.94,0.93,0.93,0.94
min
5:5-0.6,0.86,0.84,0.83,0.69,0.86
6:4-0.6,0.86,0.91,0.84,0.78,0.89
7:3-0.6,0.86,0.92,0.84,0.81,0.9
8:2-0.55,0.9,0.87,0.86,0.8,0.9
8:2-0.6,0.85,0.95,0.83,0.82,0.9
9:1-0.55,0.89,0.91,0.88,0.86,0.9
std
5:5-0.6,0.02,0.02,0.02,0.04,0.01
6:4-0.6,0.01,0.01,0.02,0.03,0.01
7:3-0.6,0.02,0.01,0.02,0.03,0.01
8:2-0.55,0.01,0.01,0.01,0.03,0.01
8:2-0.6,0.02,0.01,0.02,0.03,0.01
9:1-0.55,0.01,0.01,0.01,0.02,0.01
test finished in 40401.87 seconds
