,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.9,0.08,0.07,0.02,0.13
0.45,0.92,0.46,0.45,0.22,0.61
0.50,0.92,0.77,0.76,0.64,0.84
0.55,0.92,0.89,0.88,0.83,0.91
0.60,0.89,0.95,0.88,0.88,0.92
0.65,0.82,0.98,0.79,0.82,0.89
0.70,0.71,0.99,0.63,0.66,0.82
0.75,0.61,1.0,0.47,0.44,0.76
max
0.40,1.0,0.23,0.22,0.06,0.36
0.45,0.96,0.65,0.63,0.49,0.75
0.50,0.95,0.85,0.84,0.8,0.9
0.55,0.96,0.94,0.93,0.95,0.94
0.60,0.94,0.97,0.94,0.96,0.96
0.65,0.88,0.99,0.87,0.94,0.93
0.70,0.79,1.0,0.74,0.89,0.88
0.75,0.69,1.0,0.59,0.74,0.82
min
0.40,0.3,0.0,0.0,0.0,0.0
0.45,0.84,0.24,0.23,0.05,0.37
0.50,0.88,0.63,0.62,0.37,0.75
0.55,0.87,0.81,0.79,0.68,0.84
0.60,0.84,0.92,0.82,0.74,0.89
0.65,0.78,0.96,0.73,0.73,0.86
0.70,0.66,0.98,0.56,0.46,0.79
0.75,0.55,0.99,0.4,0.26,0.71
std
0.40,0.15,0.06,0.06,0.02,0.11
0.45,0.02,0.09,0.09,0.1,0.08
0.50,0.02,0.04,0.05,0.1,0.03
0.55,0.01,0.02,0.02,0.05,0.02
0.60,0.02,0.01,0.02,0.03,0.01
0.65,0.02,0.01,0.02,0.04,0.01
0.70,0.02,0.0,0.03,0.07,0.02
0.75,0.02,0.0,0.03,0.08,0.01
test finished in 189026.76 seconds
