,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.9,0.39,0.38,0.18,0.55
0.45,0.91,0.71,0.7,0.53,0.8
0.50,0.91,0.89,0.88,0.82,0.9
0.55,0.89,0.95,0.88,0.89,0.92
0.60,0.84,0.96,0.82,0.83,0.9
0.65,0.84,0.96,0.82,0.83,0.9
0.70,0.84,0.96,0.82,0.83,0.9
0.75,0.84,0.96,0.82,0.83,0.9
max
0.40,0.95,0.5,0.49,0.3,0.65
0.45,0.94,0.81,0.8,0.72,0.86
0.50,0.94,0.92,0.91,0.91,0.93
0.55,0.92,0.97,0.92,0.93,0.94
0.60,0.89,0.97,0.88,0.9,0.93
0.65,0.89,0.97,0.88,0.91,0.93
0.70,0.89,0.97,0.88,0.91,0.93
0.75,0.89,0.97,0.88,0.91,0.93
min
0.40,0.84,0.25,0.23,0.06,0.39
0.45,0.87,0.61,0.59,0.36,0.72
0.50,0.88,0.81,0.8,0.66,0.86
0.55,0.85,0.92,0.83,0.81,0.88
0.60,0.78,0.94,0.75,0.7,0.86
0.65,0.78,0.94,0.75,0.7,0.86
0.70,0.78,0.94,0.75,0.7,0.86
0.75,0.78,0.94,0.75,0.7,0.86
std
0.40,0.02,0.05,0.05,0.05,0.05
0.45,0.01,0.04,0.04,0.08,0.02
0.50,0.01,0.02,0.02,0.04,0.01
0.55,0.02,0.01,0.02,0.02,0.01
0.60,0.02,0.01,0.02,0.04,0.01
0.65,0.02,0.01,0.02,0.04,0.01
0.70,0.02,0.01,0.02,0.04,0.01
0.75,0.02,0.01,0.02,0.04,0.01
test finished in 25656.13 seconds
